subject_file,channel,fractal_dimension,delta_std_dev,delta_kurtosis,signal_length,zscore_fractal_dimension,zscore_delta_std_dev,zscore_delta_kurtosis
s00.csv,ch_0,0.248516,1.655554,3.574093,31000,-0.641413,1.320388,-0.394168
s00.csv,ch_1,0.312479,1.561454,5.057047,31000,0.807719,0.946634,-0.239240
s00.csv,ch_2,0.267499,1.608160,3.783688,31000,0.328473,2.043939,-0.248376
s00.csv,ch_3,0.253505,1.605384,3.364862,31000,-0.239579,2.078674,-0.241149
s00.csv,ch_4,0.280832,1.666968,5.963828,31000,0.341265,1.858294,-0.221489
s00.csv,ch_5,0.261856,1.755671,3.675193,31000,-0.151768,2.121320,-0.257979
s00.csv,ch_6,0.244819,1.618681,4.148273,31000,-0.362886,1.804261,-0.207303
s00.csv,ch_7,0.237423,1.687839,4.617635,31000,-0.694565,1.109983,-0.195355
s00.csv,ch_8,0.264703,1.513026,3.417633,31000,0.318539,1.522877,-0.292271
s00.csv,ch_9,0.256069,1.534786,3.400721,31000,0.035002,1.448065,-0.310864
s00.csv,ch_10,0.234392,1.528358,4.205243,31000,-0.969822,2.065663,-0.173685
s00.csv,ch_11,0.249632,1.617444,4.416553,31000,-0.329349,1.418811,-0.151945
s00.csv,ch_12,0.228484,1.523941,3.869083,31000,-2.141019,0.674914,-0.119624
s00.csv,ch_13,0.231407,1.634538,4.033251,31000,-0.761892,0.833317,-0.188491
s00.csv,ch_14,0.236635,1.892121,3.963196,31000,-0.619895,0.887991,-0.183085
s00.csv,ch_15,0.253560,2.441823,4.918496,31000,-0.230371,1.683315,-0.163684
s00.csv,ch_16,0.250011,1.590407,3.336016,31000,-0.531148,1.747800,-0.281489
s00.csv,ch_17,0.273102,1.645481,3.948884,31000,2.232170,1.928380,-0.053799
s00.csv,ch_18,0.235810,1.491564,3.718435,31000,-0.801598,0.487508,-0.260234
s01.csv,ch_0,0.272521,1.364045,4.498938,31000,-0.186518,0.463996,-0.320494
s01.csv,ch_1,0.259502,1.329844,3.948465,31000,-0.304254,0.221267,-0.250409
s01.csv,ch_2,0.256767,1.271401,4.334097,31000,-0.094352,0.559797,-0.202649
s01.csv,ch_3,0.271537,1.311479,3.453664,31000,0.841369,0.673721,-0.228678
s01.csv,ch_4,0.267686,1.184007,5.893274,31000,-0.017644,0.325782,-0.224514
s01.csv,ch_5,0.282093,1.183723,46.949433,31000,0.312824,0.178868,0.651242
s01.csv,ch_6,0.505295,1.651046,84.235851,31000,5.523680,1.907227,5.632173
s01.csv,ch_7,0.271465,1.222841,5.844722,31000,0.268495,0.003338,-0.118561
s01.csv,ch_8,0.253210,1.304320,6.297310,31000,-0.216486,0.647851,0.319197
s01.csv,ch_9,0.387289,1.290660,7.091803,31000,5.522952,0.455522,0.937554
s01.csv,ch_10,0.243390,1.069235,17.402492,31000,-0.620207,0.259535,1.554072
s01.csv,ch_11,0.253712,1.209876,4.232165,31000,-0.205021,0.101797,-0.187710
s01.csv,ch_12,0.271096,1.297160,8.193001,31000,1.582097,0.084469,1.232859
s01.csv,ch_13,0.365366,1.883744,85.645573,31000,2.976018,1.464656,5.680206
s01.csv,ch_14,0.259474,1.685055,6.432553,31000,0.032544,0.471944,0.075190
s01.csv,ch_15,0.495847,2.484616,1762.585145,31000,5.389989,1.761766,5.833297
s01.csv,ch_16,0.250956,1.360920,3.610834,31000,-0.447503,0.776343,-0.212829
s01.csv,ch_17,0.264899,1.307342,3.604285,31000,1.301560,0.554829,-0.245545
s01.csv,ch_18,0.377084,1.855602,15.760668,31000,4.748692,1.478591,4.349333
s02.csv,ch_0,0.216807,2.422905,3.352870,31000,-1.242300,3.574702,-0.411791
s02.csv,ch_1,0.244699,2.272205,3.121199,31000,-0.614964,3.172601,-0.258743
s02.csv,ch_2,0.244463,1.525419,3.194440,31000,-0.579129,1.679286,-0.297330
s02.csv,ch_3,0.242114,1.297549,3.231281,31000,-0.922458,0.607129,-0.259910
s02.csv,ch_4,0.224409,2.300026,3.206965,31000,-1.199154,3.867087,-0.339670
s02.csv,ch_5,0.254463,1.784186,3.349979,31000,-0.321506,2.218162,-0.264812
s02.csv,ch_6,0.234968,1.857581,3.212120,31000,-0.585527,2.564304,-0.275561
s02.csv,ch_7,0.242259,1.549610,3.241980,31000,-0.557731,0.781013,-0.281448
s02.csv,ch_8,0.270449,1.390516,3.301557,31000,0.586031,1.009238,-0.316919
s02.csv,ch_9,0.254796,1.406289,3.275430,31000,-0.018208,0.925636,-0.353241
s02.csv,ch_10,0.237035,1.743013,3.291939,31000,-0.867107,2.910090,-0.293252
s02.csv,ch_11,0.246416,1.620188,3.107585,31000,-0.427367,1.427677,-0.405841
s02.csv,ch_12,0.243893,1.571604,3.297240,31000,-0.794664,0.799011,-0.298492
s02.csv,ch_13,0.252294,1.513991,3.838148,31000,-0.179086,0.527925,-0.202521
s02.csv,ch_14,0.260955,2.428281,3.311307,31000,0.074845,1.965266,-0.251267
