ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq,zscore_daily_return_fractal_dimension,zscore_daily_return_std_dev,zscore_daily_return_kurtosis,zscore_daily_return_fundamental_freq,zscore_volatility_fractal_dimension,zscore_volatility_std_dev,zscore_volatility_kurtosis,zscore_volatility_fundamental_freq,zscore_normalized_volume_fractal_dimension,zscore_normalized_volume_std_dev,zscore_normalized_volume_kurtosis,zscore_normalized_volume_fundamental_freq
aadr.us,ETFs,1565,0.180436,0.012126,6.474633,0.000000,0.366368,0.361281,0.353002,24.925673,0.000000,0.002556,0.387287,2.144282,46.928562,0.000000,0.042812,-0.007095,-0.014582,-0.150343,0.651435,-0.048888,-0.012312,-0.281698,-0.211192,-0.376331,0.932212,-0.575842,0.496988
aaxj.us,ETFs,2325,0.267691,0.017336,15.383231,0.779733,0.308090,0.641015,0.778706,1098.896016,0.000000,0.001720,0.425444,1.271592,75.258829,0.000000,0.005591,0.031288,-0.013850,-0.114642,0.228704,1.493419,-0.012310,4.642100,-0.229525,-0.006459,-0.134797,-0.366740,-0.265054
acim.us,ETFs,1232,0.141762,0.011086,8.519083,0.000000,0.493095,0.444862,0.958016,129.264682,1.170102,0.008117,0.530429,2.926044,197.143639,0.664259,0.008117,-0.024108,-0.014728,-0.142150,1.570660,0.411932,-0.012309,0.196662,-0.089169,1.011191,1.888048,0.532874,-0.213347
actx.us,ETFs,272,0.120395,0.014946,7.038951,0.838424,0.265683,0.316601,0.156449,130.819442,0.000000,0.018382,0.265914,1.432318,30.209657,0.000000,0.308824,-0.033508,-0.014186,-0.148082,-0.078898,-0.295232,-0.012312,0.203790,0.136086,-1.552827,0.061717,-0.699242,5.943303
acwf.us,ETFs,403,0.153347,0.011767,7.643842,0.000000,0.388060,0.302355,0.155763,59.434098,0.000000,0.009926,0.495147,3.797939,270.589601,0.793795,0.012407,-0.019012,-0.014632,-0.145658,0.808776,-0.373777,-0.012312,-0.123488,-0.049481,0.669189,2.954084,1.074968,-0.125513
acwi.us,ETFs,2425,0.211794,0.013785,13.518552,2.599391,0.194307,0.413116,0.423355,76.060454,0.000000,0.001237,0.443475,1.306929,91.271749,0.000000,0.007835,0.006699,-0.014349,-0.122115,-0.596629,0.236901,-0.012311,-0.047262,-0.240131,0.168323,-0.091592,-0.248551,-0.219117
acwv.us,ETFs,1491,0.192298,0.006310,6.179001,0.000000,0.300671,0.457791,0.389263,258.173990,0.830483,0.007378,0.358424,1.708383,38.726168,0.000000,0.009390,-0.001877,-0.015399,-0.151528,0.174894,0.483218,-0.012311,0.787668,-0.105391,-0.656100,0.399254,-0.636383,-0.187288
acwx.us,ETFs,2424,0.255267,0.015303,14.300632,3.694055,0.194387,0.529064,0.540571,278.506706,0.000000,0.001238,0.377262,1.426136,40.445885,0.000000,0.007838,0.025823,-0.014136,-0.118981,-0.596047,0.876178,-0.012311,0.880887,-0.240119,-0.473497,0.054159,-0.623690,-0.219051
adra.us,ETFs,2986,0.300761,0.016100,13.095511,0.000000,0.353099,0.461652,0.362981,70.475909,0.000000,0.001340,0.697960,1.919991,412.468643,0.000000,0.006028,0.045836,-0.014024,-0.123810,0.555183,0.504504,-0.012311,-0.072865,-0.237882,2.635118,0.657979,2.122157,-0.256112
adrd.us,ETFs,3186,0.198762,0.014716,16.400480,0.000000,0.257143,0.476982,0.249611,82.579313,0.535878,0.003139,0.446010,1.452176,59.093158,0.896985,0.003766,0.000966,-0.014218,-0.110565,-0.140842,0.589027,-0.012312,-0.017375,-0.198404,0.192898,0.085997,-0.486057,-0.302417
