--- 🔬 STARTING SIMULATION & DATA DUMP ---
Frame, P1_m, P1_l, P2_m, P2_l, P3_m, P3_l
0, 1.76467, 0.94964, -1.76467, 0.97352, 0.01194, -1.82367
1, 1.72298, 0.85915, -1.73215, 0.91366, 0.04442, -1.57943
2, 1.60413, 0.74107, -1.64002, 0.81511, 0.10419, -1.27927
3, 1.40974, 0.60932, -1.49671, 0.67473, 0.19551, -0.93811
4, 1.14602, 0.47809, -1.31295, 0.49205, 0.31958, -0.57291
5, 0.82351, 0.36078, -1.10106, 0.26956, 0.47431, -0.20174
6, 0.45664, 0.26897, -0.87414, 0.01275, 0.65422, 0.15737
7, 0.06289, 0.21145, -0.64515, -0.26998, 0.85073, 0.48753
8, -0.33821, 0.19353, -0.42611, -0.56773, 1.05260, 0.77406
9, -0.72629, 0.21656, -0.22728, -0.86769, 1.24673, 1.00539
10, -1.08148, 0.27786, -0.05649, -1.15584, 1.41904, 1.17374
11, -1.38561, 0.37082, 0.08120, -1.41785, 1.55547, 1.27553
12, -1.62341, 0.48552, 0.18381, -1.63994, 1.64301, 1.31144
13, -1.78346, 0.60942, 0.25234, -1.80973, 1.67071, 1.28626
14, -1.85891, 0.72837, 0.29060, -1.91701, 1.63048, 1.20840
15, -1.84788, 0.82770, 0.30474, -1.95447, 1.51793, 1.08924
16, -1.75355, 0.89335, 0.30267, -1.91816, 1.33278, 0.94220
17, -1.58393, 0.91302, 0.29337, -1.80789, 1.07919, 0.78178
18, -1.35138, 0.87723, 0.28606, -1.62730, 0.76571, 0.62248
19, -1.07177, 0.78014, 0.28938, -1.38377, 0.40494, 0.47766
20, -0.76344, 0.62025, 0.31066, -1.08811, 0.01290, 0.35858
21, -0.44602, 0.40069, 0.35520, -0.75399, -0.39190, 0.27350
22, -0.13904, 0.12924, 0.42571, -0.39720, -0.78960, 0.22704
23, 0.13939, -0.18200, 0.52201, -0.03475, -1.16021, 0.21991
24, 0.37386, -0.51738, 0.64086, 0.31621, -1.48487, 0.24885
25, 0.55268, -0.85858, 0.77613, 0.63937, -1.74703, 0.30698
26, 0.66860, -1.18585, 0.91914, 0.92038, -1.93350, 0.38437
27, 0.71920, -1.47927, 1.05924, 1.14760, -2.03523, 0.46886
28, 0.70697, -1.72006, 1.18463, 1.31288, -2.04794, 0.54703
29, 0.63901, -1.89188, 1.28315, 1.41191, -1.97235, 0.60527
30, 0.52642, -1.98197, 1.34326, 1.44443, -1.81416, 0.63092
31, 0.38352, -1.98201, 1.35493, 1.41412, -1.58371, 0.61332
32, 0.22666, -1.88884, 1.31047, 1.32825, -1.29537, 0.54477
33, 0.07303, -1.70478, 1.20525, 1.19711, -0.96657, 0.42130
34, -0.06064, -1.43763, 1.03824, 1.03323, -0.61678, 0.24320
35, -0.15943, -1.10032, 0.81229, 0.85048, -0.26615, 0.01514
36, -0.21133, -0.71024, 0.53418, 0.66306, 0.06577, -0.25387
37, -0.20827, -0.28820, 0.21440, 0.48448, 0.36138, -0.55102
38, -0.14681, 0.14282, -0.13341, 0.32659, 0.60613, -0.86041
39, -0.02852, 0.55917, -0.49317, 0.19874, 0.78943, -1.16407
40, 0.13999, 0.93804, -0.84736, 0.10711, 0.90531, -1.44311
41, 0.34747, 1.25899, -1.17804, 0.05435, 0.95265, -1.67901
42, 0.57877, 1.50529, -1.46800, 0.03943, 0.93515, -1.85482
43, 0.81591, 1.66500, -1.70181, 0.05781, 0.86101, -1.95645
44, 1.03938, 1.73172, -1.86685, 0.10187, 0.74219, -1.97367
45, 1.22954, 1.70499, -1.95407, 0.16153, 0.59354, -1.90090
46, 1.36809, 1.59030, -1.95868, 0.22512, 0.43162, -1.73778
47, 1.43949, 1.39864, -1.88043, 0.28032, 0.27349, -1.48935
