PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner ===
Ep 0001 | Return:    100.2 | Loss:  -3.276 | DR: 0.945 | Γ: 1.710 | π: 0.473
Ep 0002 | Return:    128.6 | Loss:  -6.120 | DR: 0.951 | Γ: 1.766 | π: 0.466
Ep 0003 | Return:    109.6 | Loss:  -1.923 | DR: 0.968 | Γ: 1.732 | π: 0.466
Ep 0004 | Return:    102.1 | Loss: -10.695 | DR: 0.954 | Γ: 1.689 | π: 0.470
Ep 0005 | Return:    105.1 | Loss: -16.740 | DR: 0.952 | Γ: 1.744 | π: 0.468
Ep 0006 | Return:     85.0 | Loss:   5.387 | DR: 0.963 | Γ: 1.818 | π: 0.467
Ep 0007 | Return:    105.8 | Loss: -44.517 | DR: 0.954 | Γ: 1.673 | π: 0.472
Ep 0008 | Return:    130.3 | Loss: -42.730 | DR: 0.946 | Γ: 1.638 | π: 0.477
Ep 0009 | Return:     99.0 | Loss: -32.321 | DR: 0.944 | Γ: 1.634 | π: 0.474
Ep 0010 | Return:     90.6 | Loss: -39.053 | DR: 0.968 | Γ: 1.655 | π: 0.472
Ep 0011 | Return:    102.1 | Loss: -42.685 | DR: 0.963 | Γ: 1.713 | π: 0.469
Ep 0012 | Return:     83.7 | Loss: -101.431 | DR: 0.946 | Γ: 1.791 | π: 0.466
Ep 0013 | Return:     88.4 | Loss: -87.636 | DR: 0.922 | Γ: 1.695 | π: 0.473
Ep 0014 | Return:     90.4 | Loss: -335.630 | DR: 0.936 | Γ: 1.708 | π: 0.470
Ep 0015 | Return:     90.1 | Loss: -583.460 | DR: 0.963 | Γ: 1.685 | π: 0.470
Ep 0016 | Return:     84.5 | Loss: -366.519 | DR: 0.975 | Γ: 1.742 | π: 0.466
Ep 0017 | Return:     79.5 | Loss: -25.009 | DR: 0.921 | Γ: 1.743 | π: 0.468
Ep 0018 | Return:     84.0 | Loss:  -8.025 | DR: 0.971 | Γ: 1.658 | π: 0.470
Ep 0019 | Return:     83.9 | Loss: -10926.899 | DR: 0.940 | Γ: 1.727 | π: 0.471
Ep 0020 | Return:     92.0 | Loss: -4391.026 | DR: 0.955 | Γ: 1.680 | π: 0.470
Ep 0021 | Return:     86.2 | Loss: -27619.941 | DR: 0.956 | Γ: 1.715 | π: 0.469
Ep 0022 | Return:     81.8 | Loss: -112705.508 | DR: 0.961 | Γ: 1.766 | π: 0.466
Ep 0023 | Return:     84.1 | Loss: -912.822 | DR: 0.957 | Γ: 1.734 | π: 0.467
Ep 0024 | Return:    104.7 | Loss: -918.037 | DR: 0.934 | Γ: 1.753 | π: 0.467
Ep 0025 | Return:     77.0 | Loss: -243255.391 | DR: 0.956 | Γ: 1.766 | π: 0.467
Ep 0026 | Return:     84.3 | Loss: -508979.375 | DR: 0.939 | Γ: 1.830 | π: 0.465
Ep 0027 | Return:     83.1 | Loss: -516138.531 | DR: 0.954 | Γ: 1.784 | π: 0.467
Ep 0028 | Return:    103.9 | Loss: -606810.500 | DR: 0.959 | Γ: 1.776 | π: 0.467
Ep 0029 | Return:     78.7 | Loss: -165931.656 | DR: 0.948 | Γ: 1.725 | π: 0.470
