PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
    ↳ New plateau: best_return = 208.4
Ep 0002 | Return:    184.2 | Loss:     -24.170 | DR: 0.942 | Γ: 1.704 | π: 0.470
Ep 0003 | Return:    304.5 | Loss:     -78.248 | DR: 0.953 | Γ: 1.746 | π: 0.469
    ↳ New plateau: best_return = 304.5
Ep 0004 | Return:    173.2 | Loss:    -121.408 | DR: 0.954 | Γ: 1.748 | π: 0.467
Ep 0005 | Return:     99.9 | Loss:    -175.891 | DR: 0.956 | Γ: 1.697 | π: 0.470
Ep 0006 | Return:    142.3 | Loss:   -1398.711 | DR: 0.927 | Γ: 1.734 | π: 0.473
Ep 0007 | Return:    165.3 | Loss:   -4092.920 | DR: 0.943 | Γ: 1.774 | π: 0.468
Ep 0008 | Return:     84.1 | Loss:  -10025.712 | DR: 0.951 | Γ: 1.679 | π: 0.474
Ep 0009 | Return:     89.6 | Loss:  -80077.547 | DR: 0.935 | Γ: 1.728 | π: 0.469
Ep 0010 | Return:    120.1 | Loss: -172894.250 | DR: 0.944 | Γ: 1.757 | π: 0.470
Ep 0011 | Return:    141.7 | Loss: -411087.344 | DR: 0.943 | Γ: 1.704 | π: 0.471
Ep 0012 | Return:    125.8 | Loss: -1101831.750 | DR: 0.950 | Γ: 1.722 | π: 0.472
Ep 0013 | Return:    162.4 | Loss: -1524822.000 | DR: 0.958 | Γ: 1.738 | π: 0.471
Ep 0014 | Return:    104.3 | Loss: -1174996.625 | DR: 0.943 | Γ: 1.708 | π: 0.471
Ep 0015 | Return:    241.7 | Loss: -811131.812 | DR: 0.941 | Γ: 1.737 | π: 0.471
Ep 0016 | Return:    137.8 | Loss:  163361.562 | DR: 0.954 | Γ: 1.676 | π: 0.471
Ep 0017 | Return:    123.6 | Loss: -712730.938 | DR: 0.957 | Γ: 1.736 | π: 0.469
Ep 0018 | Return:    173.8 | Loss: -1303620.000 | DR: 0.945 | Γ: 1.726 | π: 0.471
Ep 0019 | Return:    145.6 | Loss: -3453132.000 | DR: 0.950 | Γ: 1.693 | π: 0.470
Ep 0020 | Return:    112.9 | Loss: -1920804.250 | DR: 0.953 | Γ: 1.796 | π: 0.464
Ep 0021 | Return:    143.6 | Loss:  844952.000 | DR: 0.923 | Γ: 1.803 | π: 0.468
Ep 0022 | Return:    137.0 | Loss: -2870647.000 | DR: 0.958 | Γ: 1.706 | π: 0.472
Ep 0023 | Return:    110.3 | Loss: -1587797.250 | DR: 0.974 | Γ: 1.651 | π: 0.468
Ep 0024 | Return:    132.0 | Loss: -1986069.750 | DR: 0.940 | Γ: 1.795 | π: 0.468
Ep 0025 | Return:    127.9 | Loss: -2966323.000 | DR: 0.928 | Γ: 1.630 | π: 0.474
Ep 0026 | Return:    171.7 | Loss: -1879843.250 | DR: 0.947 | Γ: 1.762 | π: 0.466
Ep 0027 | Return:    193.3 | Loss: -755975.312 | DR: 0.942 | Γ: 1.733 | π: 0.468
Ep 0028 | Return:    111.5 | Loss: -1850320.250 | DR: 0.944 | Γ: 1.722 | π: 0.469
Ep 0029 | Return:    110.4 | Loss: -2917984.000 | DR: 0.949 | Γ: 1.759 | π: 0.470
Ep 0030 | Return:    126.4 | Loss: -530710.062 | DR: 0.918 | Γ: 1.626 | π: 0.479
Ep 0031 | Return:    137.1 | Loss:   84868.469 | DR: 0.944 | Γ: 1.740 | π: 0.471
Ep 0032 | Return:     88.4 | Loss: -2195994.750 | DR: 0.924 | Γ: 1.800 | π: 0.471
Ep 0033 | Return:    180.6 | Loss: -2726663.500 | DR: 0.952 | Γ: 1.731 | π: 0.470
