PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_hybrid_3.py --basin-json basin_structure.json
Using device: cuda
FIT-in-a-Box models will be saved in: ./fractal_intelligence_transfer_models/

=== Hydra Humanoid Orchestrator ===
Modes: ['pure', 'touch', 'brain', 'fusion']
Device: cuda


Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033
   ↳ [Hydra] New global plateau: 145.0 (mode=pure)
[pure  ] Ep 0001 | EnvRet:   145.0 | Loss:    -4.436 | DR: 0.950 | Γ: 1.715
[touch ] Ep 0002 | EnvRet:   114.6 | Loss:    -8.796 | DR: 0.953 | Γ: 1.815
[brain ] Ep 0003 | EnvRet:    89.4 | Loss:     0.018 | DR: 0.943 | Γ: 1.725
[fusion] Ep 0004 | EnvRet:   101.9 | Loss:     4.234 | DR: 0.945 | Γ: 1.805
   ↳ [Hydra] New global plateau: 148.9 (mode=pure)
[pure  ] Ep 0005 | EnvRet:   148.9 | Loss:     1.089 | DR: 0.949 | Γ: 1.677
[touch ] Ep 0006 | EnvRet:   148.6 | Loss:   -12.327 | DR: 0.968 | Γ: 1.705
   ↳ [Hydra] New global plateau: 179.6 (mode=brain)
[brain ] Ep 0007 | EnvRet:   179.6 | Loss:   -22.104 | DR: 0.928 | Γ: 1.731
[fusion] Ep 0008 | EnvRet:    96.2 | Loss:    -7.006 | DR: 0.918 | Γ: 1.660
[pure  ] Ep 0009 | EnvRet:   137.8 | Loss:   -24.648 | DR: 0.955 | Γ: 1.703
   ↳ [Hydra] New global plateau: 187.8 (mode=touch)
[touch ] Ep 0010 | EnvRet:   187.8 | Loss:   -48.069 | DR: 0.963 | Γ: 1.765
[brain ] Ep 0011 | EnvRet:   180.3 | Loss:   -10.545 | DR: 0.951 | Γ: 1.706
[fusion] Ep 0012 | EnvRet:    96.5 | Loss:   -24.651 | DR: 0.971 | Γ: 1.656
[pure  ] Ep 0013 | EnvRet:   145.4 | Loss:    -5.246 | DR: 0.949 | Γ: 1.696
[touch ] Ep 0014 | EnvRet:   156.0 | Loss:   -38.946 | DR: 0.948 | Γ: 1.681
[brain ] Ep 0015 | EnvRet:   107.9 | Loss:    -8.677 | DR: 0.961 | Γ: 1.739
[fusion] Ep 0016 | EnvRet:   161.5 | Loss:   -20.662 | DR: 0.954 | Γ: 1.643
[pure  ] Ep 0017 | EnvRet:   104.8 | Loss:   -11.123 | DR: 0.942 | Γ: 1.804
[touch ] Ep 0018 | EnvRet:   110.1 | Loss:   -15.860 | DR: 0.916 | Γ: 1.695
[brain ] Ep 0019 | EnvRet:   172.8 | Loss:   -56.315 | DR: 0.924 | Γ: 1.711
[fusion] Ep 0020 | EnvRet:   139.1 | Loss:   -34.797 | DR: 0.966 | Γ: 1.743
[pure  ] Ep 0021 | EnvRet:   169.0 | Loss:   -41.565 | DR: 0.939 | Γ: 1.800
[touch ] Ep 0022 | EnvRet:   104.8 | Loss:     1.461 | DR: 0.940 | Γ: 1.699
[brain ] Ep 0023 | EnvRet:   175.1 | Loss:   -53.892 | DR: 0.951 | Γ: 1.716
[fusion] Ep 0024 | EnvRet:   107.7 | Loss:   -22.370 | DR: 0.940 | Γ: 1.736
[pure  ] Ep 0025 | EnvRet:   139.2 | Loss:    -8.822 | DR: 0.944 | Γ: 1.801
[touch ] Ep 0026 | EnvRet:   163.6 | Loss:   -23.990 | DR: 0.951 | Γ: 1.718
[brain ] Ep 0027 | EnvRet:   136.5 | Loss:    -3.513 | DR: 0.965 | Γ: 1.764
[fusion] Ep 0028 | EnvRet:   121.4 | Loss:   -33.908 | DR: 0.947 | Γ: 1.706
[pure  ] Ep 0029 | EnvRet:   141.2 | Loss:   -26.427 | DR: 0.924 | Γ: 1.703
[touch ] Ep 0030 | EnvRet:    95.0 | Loss:   -18.658 | DR: 0.948 | Γ: 1.701
[brain ] Ep 0031 | EnvRet:   163.2 | Loss:   -30.386 | DR: 0.939 | Γ: 1.729
[fusion] Ep 0032 | EnvRet:   109.6 | Loss:   -17.021 | DR: 0.935 | Γ: 1.640
[pure  ] Ep 0033 | EnvRet:   119.7 | Loss:     2.318 | DR: 0.948 | Γ: 1.712
[touch ] Ep 0034 | EnvRet:   105.2 | Loss:   -21.779 | DR: 0.934 | Γ: 1.623
[brain ] Ep 0035 | EnvRet:   133.4 | Loss:   -42.005 | DR: 0.957 | Γ: 1.704
[fusion] Ep 0036 | EnvRet:    96.0 | Loss:     1.131 | DR: 0.942 | Γ: 1.655
[pure  ] Ep 0037 | EnvRet:   120.5 | Loss:   -10.882 | DR: 0.941 | Γ: 1.729
[touch ] Ep 0038 | EnvRet:   128.9 | Loss:   -21.010 | DR: 0.926 | Γ: 1.699
[brain ] Ep 0039 | EnvRet:   132.5 | Loss:   -10.015 | DR: 0.956 | Γ: 1.707
[fusion] Ep 0040 | EnvRet:   133.4 | Loss:   -32.874 | DR: 0.932 | Γ: 1.690
[pure  ] Ep 0041 | EnvRet:   116.4 | Loss:   -23.107 | DR: 0.957 | Γ: 1.695
[touch ] Ep 0042 | EnvRet:   101.8 | Loss:    -2.432 | DR: 0.924 | Γ: 1.660
   ↳ [Hydra] New global plateau: 205.4 (mode=brain)
[brain ] Ep 0043 | EnvRet:   205.4 | Loss:   -24.208 | DR: 0.937 | Γ: 1.796
[fusion] Ep 0044 | EnvRet:   163.5 | Loss:   -61.151 | DR: 0.942 | Γ: 1.693
[pure  ] Ep 0045 | EnvRet:   185.8 | Loss:   -37.728 | DR: 0.947 | Γ: 1.786
[touch ] Ep 0046 | EnvRet:   130.4 | Loss:    -7.130 | DR: 0.936 | Γ: 1.751
[brain ] Ep 0047 | EnvRet:   110.9 | Loss:   -63.393 | DR: 0.955 | Γ: 1.715
[fusion] Ep 0048 | EnvRet:   102.0 | Loss:   -55.667 | DR: 0.938 | Γ: 1.713
[pure  ] Ep 0049 | EnvRet:   120.1 | Loss:   -35.625 | DR: 0.942 | Γ: 1.729
[touch ] Ep 0050 | EnvRet:   138.1 | Loss:   -48.096 | DR: 0.925 | Γ: 1.697
[brain ] Ep 0051 | EnvRet:   125.9 | Loss:   -13.531 | DR: 0.938 | Γ: 1.756
[fusion] Ep 0052 | EnvRet:   129.8 | Loss:   -15.328 | DR: 0.957 | Γ: 1.720
[pure  ] Ep 0053 | EnvRet:   100.8 | Loss:   -32.718 | DR: 0.936 | Γ: 1.669
[touch ] Ep 0054 | EnvRet:   122.9 | Loss:   -89.575 | DR: 0.939 | Γ: 1.672
[brain ] Ep 0055 | EnvRet:   151.6 | Loss:   -45.657 | DR: 0.925 | Γ: 1.704
[fusion] Ep 0056 | EnvRet:   118.3 | Loss:   -48.400 | DR: 0.959 | Γ: 1.677
[pure  ] Ep 0057 | EnvRet:   128.2 | Loss:   -22.815 | DR: 0.934 | Γ: 1.721
[touch ] Ep 0058 | EnvRet:   167.0 | Loss:   -64.790 | DR: 0.949 | Γ: 1.685
[brain ] Ep 0059 | EnvRet:   114.4 | Loss:   -54.660 | DR: 0.945 | Γ: 1.762
[fusion] Ep 0060 | EnvRet:   106.6 | Loss:   -46.533 | DR: 0.947 | Γ: 1.712
[pure  ] Ep 0061 | EnvRet:   173.0 | Loss:   -44.143 | DR: 0.950 | Γ: 1.715
[touch ] Ep 0062 | EnvRet:   122.7 | Loss:   -42.370 | DR: 0.959 | Γ: 1.769
[brain ] Ep 0063 | EnvRet:   129.2 | Loss:   -43.658 | DR: 0.926 | Γ: 1.777
[fusion] Ep 0064 | EnvRet:   140.5 | Loss:   -50.749 | DR: 0.940 | Γ: 1.673
[pure  ] Ep 0065 | EnvRet:   144.3 | Loss:   -71.257 | DR: 0.937 | Γ: 1.764
[touch ] Ep 0066 | EnvRet:   163.4 | Loss:   -40.030 | DR: 0.952 | Γ: 1.729
[brain ] Ep 0067 | EnvRet:   138.2 | Loss:   -69.892 | DR: 0.955 | Γ: 1.672
[fusion] Ep 0068 | EnvRet:   126.7 | Loss:   -37.903 | DR: 0.949 | Γ: 1.709
[pure  ] Ep 0069 | EnvRet:   152.5 | Loss:   -37.493 | DR: 0.946 | Γ: 1.726
[touch ] Ep 0070 | EnvRet:   113.8 | Loss:   -17.159 | DR: 0.958 | Γ: 1.709
[brain ] Ep 0071 | EnvRet:   132.7 | Loss:   -64.640 | DR: 0.946 | Γ: 1.763
[fusion] Ep 0072 | EnvRet:   143.2 | Loss:   -13.840 | DR: 0.943 | Γ: 1.726
[pure  ] Ep 0073 | EnvRet:   118.2 | Loss:   -32.680 | DR: 0.953 | Γ: 1.709
[touch ] Ep 0074 | EnvRet:   170.1 | Loss:   -23.767 | DR: 0.949 | Γ: 1.768
[brain ] Ep 0075 | EnvRet:   190.3 | Loss:   -73.415 | DR: 0.955 | Γ: 1.714
[fusion] Ep 0076 | EnvRet:   144.8 | Loss:   -38.015 | DR: 0.952 | Γ: 1.678
[pure  ] Ep 0077 | EnvRet:   159.7 | Loss:   -43.579 | DR: 0.943 | Γ: 1.724
[touch ] Ep 0078 | EnvRet:   115.4 | Loss:   -23.179 | DR: 0.920 | Γ: 1.737
[brain ] Ep 0079 | EnvRet:   126.6 | Loss:   -25.012 | DR: 0.918 | Γ: 1.755
[fusion] Ep 0080 | EnvRet:   136.7 | Loss:   -12.153 | DR: 0.960 | Γ: 1.716
[pure  ] Ep 0081 | EnvRet:   162.0 | Loss:   -59.440 | DR: 0.930 | Γ: 1.684
[touch ] Ep 0082 | EnvRet:   156.7 | Loss:   -27.984 | DR: 0.940 | Γ: 1.698
[brain ] Ep 0083 | EnvRet:   120.8 | Loss:   -12.422 | DR: 0.949 | Γ: 1.776
[fusion] Ep 0084 | EnvRet:   173.4 | Loss:   -65.280 | DR: 0.962 | Γ: 1.706
[pure  ] Ep 0085 | EnvRet:   143.1 | Loss:   -35.227 | DR: 0.949 | Γ: 1.695
   ↳ [Hydra] New global plateau: 207.3 (mode=touch)
[touch ] Ep 0086 | EnvRet:   207.3 | Loss:     6.474 | DR: 0.953 | Γ: 1.799
[brain ] Ep 0087 | EnvRet:   100.6 | Loss:   -27.364 | DR: 0.971 | Γ: 1.779
[fusion] Ep 0088 | EnvRet:   107.4 | Loss:   -34.862 | DR: 0.954 | Γ: 1.697
[pure  ] Ep 0089 | EnvRet:   151.6 | Loss:    27.852 | DR: 0.927 | Γ: 1.733
[touch ] Ep 0090 | EnvRet:   155.5 | Loss:   -34.786 | DR: 0.942 | Γ: 1.793
[brain ] Ep 0091 | EnvRet:   108.9 | Loss:   -51.446 | DR: 0.940 | Γ: 1.720
[fusion] Ep 0092 | EnvRet:   154.0 | Loss:   -62.315 | DR: 0.934 | Γ: 1.718
[pure  ] Ep 0093 | EnvRet:   112.0 | Loss:   -91.271 | DR: 0.911 | Γ: 1.733
[touch ] Ep 0094 | EnvRet:   181.2 | Loss:   -43.591 | DR: 0.933 | Γ: 1.729
