PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_recurrent.py --basin-json basin_structure.json
Using device: cuda
FIT-in-a-Box models will be saved in: ./fractal_intelligence_transfer_models/

=== Hydra Humanoid Orchestrator ===
Modes: ['pure', 'touch', 'brain', 'fusion']
Device: cuda


Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033
   ↳ [Hydra] New global plateau: 124.1 (mode=pure)
[pure  ] Ep 0001 | EnvRet:   124.1 | Loss:    -9.358 | DR: 1.000 | Γ: 1.665
[touch ] Ep 0002 | EnvRet:   116.8 | Loss:   -13.532 | DR: 0.886 | Γ: 1.624
[brain ] Ep 0003 | EnvRet:   101.5 | Loss:   -12.565 | DR: 0.928 | Γ: 1.731
[fusion] Ep 0004 | EnvRet:    91.3 | Loss:   -15.068 | DR: 0.889 | Γ: 1.575
[pure  ] Ep 0005 | EnvRet:   114.0 | Loss:    -8.008 | DR: 0.926 | Γ: 1.455
   ↳ [Hydra] New global plateau: 153.5 (mode=touch)
[touch ] Ep 0006 | EnvRet:   153.5 | Loss:   -42.076 | DR: 1.000 | Γ: 1.751
[brain ] Ep 0007 | EnvRet:    95.6 | Loss:   -42.181 | DR: 0.836 | Γ: 1.619
[fusion] Ep 0008 | EnvRet:   141.7 | Loss:   -51.773 | DR: 0.951 | Γ: 2.000
[pure  ] Ep 0009 | EnvRet:    98.4 | Loss:   -12.208 | DR: 1.000 | Γ: 2.000
   ↳ [Hydra] New global plateau: 168.7 (mode=touch)
[touch ] Ep 0010 | EnvRet:   168.7 | Loss:   -57.329 | DR: 0.950 | Γ: 1.562
[brain ] Ep 0011 | EnvRet:   160.1 | Loss:   -38.543 | DR: 0.947 | Γ: 1.473
[fusion] Ep 0012 | EnvRet:   156.4 | Loss:     1.102 | DR: 1.000 | Γ: 2.000
[pure  ] Ep 0013 | EnvRet:   122.0 | Loss:   -54.568 | DR: 0.963 | Γ: 2.000
[touch ] Ep 0014 | EnvRet:   105.6 | Loss:    -5.936 | DR: 0.919 | Γ: 2.000
   ↳ [Hydra] New global plateau: 171.6 (mode=brain)
[brain ] Ep 0015 | EnvRet:   171.6 | Loss:    -6.216 | DR: 0.976 | Γ: 2.000
[fusion] Ep 0016 | EnvRet:   108.5 | Loss:    -3.398 | DR: 0.857 | Γ: 1.589
[pure  ] Ep 0017 | EnvRet:   116.3 | Loss:   -50.238 | DR: 0.956 | Γ: 1.576
[touch ] Ep 0018 | EnvRet:   104.5 | Loss:   -57.316 | DR: 0.965 | Γ: 1.459
[brain ] Ep 0019 | EnvRet:    94.4 | Loss:   -14.527 | DR: 0.931 | Γ: 1.607
[fusion] Ep 0020 | EnvRet:    98.7 | Loss:     7.312 | DR: 1.000 | Γ: 1.545
[pure  ] Ep 0021 | EnvRet:   138.1 | Loss:  -212.059 | DR: 1.000 | Γ: 2.000
[touch ] Ep 0022 | EnvRet:   124.6 | Loss:    -6.300 | DR: 0.969 | Γ: 2.000
   ↳ [Hydra] New global plateau: 197.9 (mode=brain)
[brain ] Ep 0023 | EnvRet:   197.9 | Loss:   -31.725 | DR: 1.000 | Γ: 1.546
[fusion] Ep 0024 | EnvRet:    94.9 | Loss:   -39.984 | DR: 1.000 | Γ: 1.586
[pure  ] Ep 0025 | EnvRet:   154.5 | Loss:  -148.938 | DR: 0.888 | Γ: 1.735
[touch ] Ep 0026 | EnvRet:   105.1 | Loss:   -62.620 | DR: 0.915 | Γ: 2.000
[brain ] Ep 0027 | EnvRet:   100.2 | Loss:   -65.309 | DR: 0.922 | Γ: 1.402
[fusion] Ep 0028 | EnvRet:   125.5 | Loss:  -276.231 | DR: 1.000 | Γ: 2.000
[pure  ] Ep 0029 | EnvRet:    97.3 | Loss:   -33.095 | DR: 1.000 | Γ: 1.397
[touch ] Ep 0030 | EnvRet:   128.7 | Loss:   -27.821 | DR: 0.924 | Γ: 1.543
[brain ] Ep 0031 | EnvRet:   159.1 | Loss:   -36.908 | DR: 0.989 | Γ: 1.564
