PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 1 Ep 1/30 GlobalEp 1 | R_raw=-1185.54 | len=200 | actor_loss=-0.048 | critic_loss=63178.910
[Train] Gen 1 Ep 2/30 GlobalEp 2 | R_raw=-885.04 | len=200 | actor_loss=0.028 | critic_loss=37488.012
[Train] Gen 1 Ep 3/30 GlobalEp 3 | R_raw=-1237.74 | len=200 | actor_loss=-0.017 | critic_loss=67486.055
[Train] Gen 1 Ep 4/30 GlobalEp 4 | R_raw=-1194.07 | len=200 | actor_loss=0.056 | critic_loss=65519.660
[Train] Gen 1 Ep 5/30 GlobalEp 5 | R_raw=-1041.27 | len=200 | actor_loss=-0.044 | critic_loss=55741.922
[Train] Gen 1 Ep 6/30 GlobalEp 6 | R_raw=-911.06 | len=200 | actor_loss=-0.021 | critic_loss=41656.117
[Train] Gen 1 Ep 7/30 GlobalEp 7 | R_raw=-1213.71 | len=200 | actor_loss=0.052 | critic_loss=64454.984
[Train] Gen 1 Ep 8/30 GlobalEp 8 | R_raw=-1092.96 | len=200 | actor_loss=0.048 | critic_loss=52509.641
[Train] Gen 1 Ep 9/30 GlobalEp 9 | R_raw=-761.50 | len=200 | actor_loss=-0.022 | critic_loss=28746.654
[Train] Gen 1 Ep 10/30 GlobalEp 10 | R_raw=-1077.29 | len=200 | actor_loss=0.049 | critic_loss=51374.301
[Train] Gen 1 Ep 11/30 GlobalEp 11 | R_raw=-1170.82 | len=200 | actor_loss=0.013 | critic_loss=65920.031
[Train] Gen 1 Ep 12/30 GlobalEp 12 | R_raw=-1139.16 | len=200 | actor_loss=-0.010 | critic_loss=61294.008
[Train] Gen 1 Ep 13/30 GlobalEp 13 | R_raw=-980.12 | len=200 | actor_loss=-0.029 | critic_loss=43177.809
[Train] Gen 1 Ep 14/30 GlobalEp 14 | R_raw=-1410.91 | len=200 | actor_loss=0.039 | critic_loss=89784.516
[Train] Gen 1 Ep 15/30 GlobalEp 15 | R_raw=-1083.99 | len=200 | actor_loss=-0.054 | critic_loss=51515.223
[Train] Gen 1 Ep 16/30 GlobalEp 16 | R_raw=-1041.05 | len=200 | actor_loss=-0.002 | critic_loss=52273.016
[Train] Gen 1 Ep 17/30 GlobalEp 17 | R_raw=-943.61 | len=200 | actor_loss=0.064 | critic_loss=44452.500
[Train] Gen 1 Ep 18/30 GlobalEp 18 | R_raw=-1054.45 | len=200 | actor_loss=-0.030 | critic_loss=55127.527
[Train] Gen 1 Ep 19/30 GlobalEp 19 | R_raw=-1039.91 | len=200 | actor_loss=-0.028 | critic_loss=53986.043
[Train] Gen 1 Ep 20/30 GlobalEp 20 | R_raw=-893.15 | len=200 | actor_loss=-0.029 | critic_loss=43608.949
[Train] Gen 1 Ep 21/30 GlobalEp 21 | R_raw=-1040.45 | len=200 | actor_loss=-0.024 | critic_loss=51391.562
[Train] Gen 1 Ep 22/30 GlobalEp 22 | R_raw=-1061.72 | len=200 | actor_loss=-0.033 | critic_loss=51106.398
