PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi.py
[Pendulum-v1] Ep 0001 | R=-1295.38 | len=200 | loss=-0.015
[Pendulum-v1] Ep 0002 | R=-1232.49 | len=200 | loss=-0.010
[Pendulum-v1] Ep 0003 | R=-878.90 | len=200 | loss=-0.026
[Pendulum-v1] Ep 0004 | R=-1090.62 | len=200 | loss=0.099
[Pendulum-v1] Ep 0005 | R=-1349.28 | len=200 | loss=0.032
[Pendulum-v1] Ep 0006 | R=-1173.64 | len=200 | loss=0.029
[Pendulum-v1] Ep 0007 | R=-1382.43 | len=200 | loss=0.024
[Pendulum-v1] Ep 0008 | R=-1710.83 | len=200 | loss=0.024
[Pendulum-v1] Ep 0009 | R=-1084.88 | len=200 | loss=0.050
[Pendulum-v1] Ep 0010 | R=-1337.60 | len=200 | loss=0.059
[Pendulum-v1] Ep 0011 | R=-1641.64 | len=200 | loss=-0.034
[Pendulum-v1] Ep 0012 | R=-1658.94 | len=200 | loss=0.016
[Pendulum-v1] Ep 0013 | R=-1040.94 | len=200 | loss=0.015
[Pendulum-v1] Ep 0014 | R=-1600.70 | len=200 | loss=-0.021
[Pendulum-v1] Ep 0015 | R=-1429.57 | len=200 | loss=0.050
[Pendulum-v1] Ep 0016 | R=-1709.40 | len=200 | loss=0.006
[Pendulum-v1] Ep 0017 | R=-1124.73 | len=200 | loss=-0.027
[Pendulum-v1] Ep 0018 | R=-1442.37 | len=200 | loss=-0.112
[Pendulum-v1] Ep 0019 | R=-1352.22 | len=200 | loss=-0.044
[Pendulum-v1] Ep 0020 | R=-1423.38 | len=200 | loss=0.018
[Pendulum-v1] Ep 0021 | R=-1770.23 | len=200 | loss=0.030
[Pendulum-v1] Ep 0022 | R=-1356.83 | len=200 | loss=-0.028
[Pendulum-v1] Ep 0023 | R=-1374.36 | len=200 | loss=-0.160
[Pendulum-v1] Ep 0024 | R=-1138.94 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0025 | R=-1370.69 | len=200 | loss=0.025
[Pendulum-v1] Ep 0026 | R=-1373.32 | len=200 | loss=-0.152
[Pendulum-v1] Ep 0027 | R=-1452.90 | len=200 | loss=0.118
[Pendulum-v1] Ep 0028 | R=-1378.09 | len=200 | loss=-0.083
[Pendulum-v1] Ep 0029 | R=-1372.18 | len=200 | loss=-0.139
[Pendulum-v1] Ep 0030 | R=-898.38 | len=200 | loss=0.059
[Pendulum-v1] Ep 0031 | R=-1322.98 | len=200 | loss=-0.240
[Pendulum-v1] Ep 0032 | R=-1180.24 | len=200 | loss=-0.214
[Pendulum-v1] Ep 0033 | R=-1435.83 | len=200 | loss=-0.025
[Pendulum-v1] Ep 0034 | R=-1364.03 | len=200 | loss=-0.198
[Pendulum-v1] Ep 0035 | R=-1409.49 | len=200 | loss=-0.214
[Pendulum-v1] Ep 0036 | R=-1409.86 | len=200 | loss=0.086
[Pendulum-v1] Ep 0037 | R=-1389.69 | len=200 | loss=-0.041
[Pendulum-v1] Ep 0038 | R=-1491.26 | len=200 | loss=-0.109
[Pendulum-v1] Ep 0039 | R=-1513.40 | len=200 | loss=-0.207
[Pendulum-v1] Ep 0040 | R=-1399.07 | len=200 | loss=-0.081
[Pendulum-v1] Ep 0041 | R=-1483.92 | len=200 | loss=-0.295
[Pendulum-v1] Ep 0042 | R=-1431.07 | len=200 | loss=-0.034
[Pendulum-v1] Ep 0043 | R=-1376.06 | len=200 | loss=-0.177
[Pendulum-v1] Ep 0044 | R=-1352.93 | len=200 | loss=-0.048
[Pendulum-v1] Ep 0045 | R=-1392.10 | len=200 | loss=-0.035
[Pendulum-v1] Ep 0046 | R=-1390.60 | len=200 | loss=-0.032
[Pendulum-v1] Ep 0047 | R=-1440.46 | len=200 | loss=-0.164
[Pendulum-v1] Ep 0048 | R=-1415.14 | len=200 | loss=-0.007
[Pendulum-v1] Ep 0049 | R=-1336.03 | len=200 | loss=-0.048
[Pendulum-v1] Ep 0050 | R=-1437.46 | len=200 | loss=0.156
[Pendulum-v1] Ep 0051 | R=-1387.94 | len=200 | loss=0.022
[Pendulum-v1] Ep 0052 | R=-1491.04 | len=200 | loss=0.024
[Pendulum-v1] Ep 0053 | R=-1543.02 | len=200 | loss=-0.156
[Pendulum-v1] Ep 0054 | R=-1565.36 | len=200 | loss=0.057
[Pendulum-v1] Ep 0055 | R=-1452.04 | len=200 | loss=-0.069
[Pendulum-v1] Ep 0056 | R=-1498.99 | len=200 | loss=-0.081
[Pendulum-v1] Ep 0057 | R=-1537.63 | len=200 | loss=0.017
[Pendulum-v1] Ep 0058 | R=-1513.34 | len=200 | loss=-0.054
[Pendulum-v1] Ep 0059 | R=-1365.87 | len=200 | loss=0.028
[Pendulum-v1] Ep 0060 | R=-1522.50 | len=200 | loss=-0.175
[Pendulum-v1] Ep 0061 | R=-1361.62 | len=200 | loss=0.027
[Pendulum-v1] Ep 0062 | R=-1428.45 | len=200 | loss=-0.166
[Pendulum-v1] Ep 0063 | R=-1343.05 | len=200 | loss=0.012
[Pendulum-v1] Ep 0064 | R=-1309.28 | len=200 | loss=-0.061
[Pendulum-v1] Ep 0065 | R=-1542.32 | len=200 | loss=-0.028
[Pendulum-v1] Ep 0066 | R=-1514.21 | len=200 | loss=0.078
[Pendulum-v1] Ep 0067 | R=-1412.61 | len=200 | loss=-0.161
[Pendulum-v1] Ep 0068 | R=-1368.05 | len=200 | loss=-0.101
[Pendulum-v1] Ep 0069 | R=-1405.27 | len=200 | loss=-0.044
[Pendulum-v1] Ep 0070 | R=-1400.45 | len=200 | loss=-0.047
[Pendulum-v1] Ep 0071 | R=-1482.63 | len=200 | loss=-0.021
[Pendulum-v1] Ep 0072 | R=-1200.91 | len=200 | loss=-0.014
[Pendulum-v1] Ep 0073 | R=-1342.18 | len=200 | loss=-0.159
[Pendulum-v1] Ep 0074 | R=-1469.77 | len=200 | loss=-0.314
[Pendulum-v1] Ep 0075 | R=-1528.16 | len=200 | loss=-0.080
[Pendulum-v1] Ep 0076 | R=-1375.10 | len=200 | loss=-0.237
[Pendulum-v1] Ep 0077 | R=-1264.60 | len=200 | loss=-0.151
[Pendulum-v1] Ep 0078 | R=-1464.98 | len=200 | loss=-0.328
[Pendulum-v1] Ep 0079 | R=-1415.67 | len=200 | loss=-0.313
[Pendulum-v1] Ep 0080 | R=-1372.72 | len=200 | loss=-0.205
[Pendulum-v1] Ep 0081 | R=-1465.78 | len=200 | loss=-0.191
[Pendulum-v1] Ep 0082 | R=-1550.09 | len=200 | loss=-0.072
[Pendulum-v1] Ep 0083 | R=-1561.67 | len=200 | loss=0.076
[Pendulum-v1] Ep 0084 | R=-1563.41 | len=200 | loss=-0.010
[Pendulum-v1] Ep 0085 | R=-1451.59 | len=200 | loss=-0.378
[Pendulum-v1] Ep 0086 | R=-1555.35 | len=200 | loss=0.038
[Pendulum-v1] Ep 0087 | R=-1588.40 | len=200 | loss=-0.160
[Pendulum-v1] Ep 0088 | R=-1454.44 | len=200 | loss=-0.263
[Pendulum-v1] Ep 0089 | R=-1590.50 | len=200 | loss=0.074
