PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[CartPole-v1] Ep 0001 | R_raw=  19.00 | len= 19 | loss=-0.021
[CartPole-v1] Ep 0002 | R_raw=  13.00 | len= 13 | loss=-0.035
[CartPole-v1] Ep 0003 | R_raw=  39.00 | len= 39 | loss=0.018
[CartPole-v1] Ep 0004 | R_raw=  13.00 | len= 13 | loss=-0.032
[CartPole-v1] Ep 0005 | R_raw=  26.00 | len= 26 | loss=0.009
[CartPole-v1] Ep 0006 | R_raw=  17.00 | len= 17 | loss=-0.038
[CartPole-v1] Ep 0007 | R_raw=  16.00 | len= 16 | loss=-0.059
[CartPole-v1] Ep 0008 | R_raw=  13.00 | len= 13 | loss=-0.089
[CartPole-v1] Ep 0009 | R_raw=  17.00 | len= 17 | loss=0.010
[CartPole-v1] Ep 0010 | R_raw=  25.00 | len= 25 | loss=-0.016
[CartPole-v1] Ep 0011 | R_raw=  27.00 | len= 27 | loss=0.041
[CartPole-v1] Ep 0012 | R_raw=  17.00 | len= 17 | loss=-0.126
[CartPole-v1] Ep 0013 | R_raw=  26.00 | len= 26 | loss=-0.030
[CartPole-v1] Ep 0014 | R_raw=  52.00 | len= 52 | loss=-0.001
[CartPole-v1] Ep 0015 | R_raw=  30.00 | len= 30 | loss=-0.034
[CartPole-v1] Ep 0016 | R_raw=  24.00 | len= 24 | loss=0.005
[CartPole-v1] Ep 0017 | R_raw=  35.00 | len= 35 | loss=0.028
[CartPole-v1] Ep 0018 | R_raw=  27.00 | len= 27 | loss=-0.029
[CartPole-v1] Ep 0019 | R_raw=  38.00 | len= 38 | loss=0.015
[CartPole-v1] Ep 0020 | R_raw=  30.00 | len= 30 | loss=-0.017
[CartPole-v1] Ep 0021 | R_raw=  61.00 | len= 61 | loss=0.006
[CartPole-v1] Ep 0022 | R_raw=  52.00 | len= 52 | loss=-0.063
[CartPole-v1] Ep 0023 | R_raw=  53.00 | len= 53 | loss=-0.006
[CartPole-v1] Ep 0024 | R_raw=  23.00 | len= 23 | loss=0.017
[CartPole-v1] Ep 0025 | R_raw=  20.00 | len= 20 | loss=0.105
[CartPole-v1] Ep 0026 | R_raw=  42.00 | len= 42 | loss=-0.019
[CartPole-v1] Ep 0027 | R_raw=  22.00 | len= 22 | loss=-0.032
[CartPole-v1] Ep 0028 | R_raw=  25.00 | len= 25 | loss=-0.032
[CartPole-v1] Ep 0029 | R_raw=  37.00 | len= 37 | loss=-0.035
[CartPole-v1] Ep 0030 | R_raw=  46.00 | len= 46 | loss=0.079
[CartPole-v1] Ep 0031 | R_raw=  35.00 | len= 35 | loss=0.043
[CartPole-v1] Ep 0032 | R_raw=  20.00 | len= 20 | loss=-0.063
[CartPole-v1] Ep 0033 | R_raw=  41.00 | len= 41 | loss=-0.014
[CartPole-v1] Ep 0034 | R_raw=  45.00 | len= 45 | loss=0.003
[CartPole-v1] Ep 0035 | R_raw=  74.00 | len= 74 | loss=0.014
[CartPole-v1] Ep 0036 | R_raw=  42.00 | len= 42 | loss=0.008
[CartPole-v1] Ep 0037 | R_raw=  52.00 | len= 52 | loss=-0.010
[CartPole-v1] Ep 0038 | R_raw=  23.00 | len= 23 | loss=-0.089
[CartPole-v1] Ep 0039 | R_raw=  28.00 | len= 28 | loss=0.037
[CartPole-v1] Ep 0040 | R_raw=  76.00 | len= 76 | loss=-0.076
[CartPole-v1] Ep 0041 | R_raw=  51.00 | len= 51 | loss=-0.002
[CartPole-v1] Ep 0042 | R_raw=  49.00 | len= 49 | loss=0.007
[CartPole-v1] Ep 0043 | R_raw=  33.00 | len= 33 | loss=0.006
[CartPole-v1] Ep 0044 | R_raw=  27.00 | len= 27 | loss=0.109
[CartPole-v1] Ep 0045 | R_raw=  67.00 | len= 67 | loss=0.018
[CartPole-v1] Ep 0046 | R_raw=  52.00 | len= 52 | loss=-0.008
[CartPole-v1] Ep 0047 | R_raw=  48.00 | len= 48 | loss=-0.064
[CartPole-v1] Ep 0048 | R_raw=  37.00 | len= 37 | loss=0.032
[CartPole-v1] Ep 0049 | R_raw=  45.00 | len= 45 | loss=0.000
[CartPole-v1] Ep 0050 | R_raw= 106.00 | len=106 | loss=-0.029
[CartPole-v1] Ep 0051 | R_raw=  47.00 | len= 47 | loss=-0.039
[CartPole-v1] Ep 0052 | R_raw=  44.00 | len= 44 | loss=0.046
[CartPole-v1] Ep 0053 | R_raw= 134.00 | len=134 | loss=-0.035
[CartPole-v1] Ep 0054 | R_raw=  94.00 | len= 94 | loss=-0.026
[CartPole-v1] Ep 0055 | R_raw=  39.00 | len= 39 | loss=-0.115
[CartPole-v1] Ep 0056 | R_raw=  89.00 | len= 89 | loss=-0.005
[CartPole-v1] Ep 0057 | R_raw=  64.00 | len= 64 | loss=0.027
[CartPole-v1] Ep 0058 | R_raw=  64.00 | len= 64 | loss=-0.021
[CartPole-v1] Ep 0059 | R_raw=  49.00 | len= 49 | loss=-0.007
[CartPole-v1] Ep 0060 | R_raw=  35.00 | len= 35 | loss=0.078
[CartPole-v1] Ep 0061 | R_raw=  80.00 | len= 80 | loss=0.011
[CartPole-v1] Ep 0062 | R_raw= 123.00 | len=123 | loss=0.023
[CartPole-v1] Ep 0063 | R_raw= 124.00 | len=124 | loss=0.004
[CartPole-v1] Ep 0064 | R_raw=  62.00 | len= 62 | loss=0.024
[CartPole-v1] Ep 0065 | R_raw=  47.00 | len= 47 | loss=0.024
[CartPole-v1] Ep 0066 | R_raw=  72.00 | len= 72 | loss=0.010
[CartPole-v1] Ep 0067 | R_raw=  65.00 | len= 65 | loss=0.037
[CartPole-v1] Ep 0068 | R_raw=  69.00 | len= 69 | loss=0.023
[CartPole-v1] Ep 0069 | R_raw= 148.00 | len=148 | loss=-0.015
[CartPole-v1] Ep 0070 | R_raw=  87.00 | len= 87 | loss=0.065
[CartPole-v1] Ep 0071 | R_raw=  72.00 | len= 72 | loss=0.004
[CartPole-v1] Ep 0072 | R_raw=  45.00 | len= 45 | loss=-0.024
[CartPole-v1] Ep 0073 | R_raw= 117.00 | len=117 | loss=0.048
[CartPole-v1] Ep 0074 | R_raw= 234.00 | len=234 | loss=0.018
[CartPole-v1] Ep 0075 | R_raw= 156.00 | len=156 | loss=0.005
