PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[BipedalWalker-v3] Ep 0001 | R_raw=-155.48 | len=1139 | loss=-0.002
[BipedalWalker-v3] Ep 0002 | R_raw=-111.21 | len= 44 | loss=-0.031
[BipedalWalker-v3] Ep 0003 | R_raw= -99.02 | len= 95 | loss=-0.014
[BipedalWalker-v3] Ep 0004 | R_raw=-144.70 | len=829 | loss=0.001
[BipedalWalker-v3] Ep 0005 | R_raw=-115.45 | len= 77 | loss=-0.046
[BipedalWalker-v3] Ep 0006 | R_raw= -45.25 | len=1600 | loss=0.005
[BipedalWalker-v3] Ep 0007 | R_raw=-105.64 | len= 46 | loss=0.010
[BipedalWalker-v3] Ep 0008 | R_raw=-114.56 | len= 74 | loss=0.099
[BipedalWalker-v3] Ep 0009 | R_raw=-145.85 | len=789 | loss=-0.008
[BipedalWalker-v3] Ep 0010 | R_raw=-105.69 | len= 36 | loss=0.053
[BipedalWalker-v3] Ep 0011 | R_raw=-115.91 | len= 70 | loss=0.049
[BipedalWalker-v3] Ep 0012 | R_raw=-146.65 | len=898 | loss=0.001
[BipedalWalker-v3] Ep 0013 | R_raw=-110.24 | len= 42 | loss=0.049
[BipedalWalker-v3] Ep 0014 | R_raw=-111.35 | len= 50 | loss=0.005
[BipedalWalker-v3] Ep 0015 | R_raw=-112.17 | len= 54 | loss=-0.043
[BipedalWalker-v3] Ep 0016 | R_raw= -58.41 | len=1600 | loss=-0.015
[BipedalWalker-v3] Ep 0017 | R_raw=-108.93 | len= 40 | loss=0.066
[BipedalWalker-v3] Ep 0018 | R_raw=-114.67 | len= 46 | loss=0.024
[BipedalWalker-v3] Ep 0019 | R_raw= -44.26 | len=1600 | loss=-0.012
[BipedalWalker-v3] Ep 0020 | R_raw=-114.27 | len= 59 | loss=-0.024
[BipedalWalker-v3] Ep 0021 | R_raw=-112.76 | len= 55 | loss=-0.035
[BipedalWalker-v3] Ep 0022 | R_raw=-101.81 | len= 98 | loss=0.054
[BipedalWalker-v3] Ep 0023 | R_raw=-110.18 | len= 42 | loss=0.042
[BipedalWalker-v3] Ep 0024 | R_raw= -47.71 | len=1600 | loss=0.005
[BipedalWalker-v3] Ep 0025 | R_raw=-112.69 | len= 47 | loss=-0.078
[BipedalWalker-v3] Ep 0026 | R_raw=-116.87 | len= 58 | loss=-0.001
[BipedalWalker-v3] Ep 0027 | R_raw= -49.68 | len=1600 | loss=-0.018
[BipedalWalker-v3] Ep 0028 | R_raw= -99.07 | len= 79 | loss=-0.021
[BipedalWalker-v3] Ep 0029 | R_raw=-112.76 | len= 57 | loss=0.106
[BipedalWalker-v3] Ep 0030 | R_raw=-101.12 | len= 67 | loss=0.011
[BipedalWalker-v3] Ep 0031 | R_raw= -52.00 | len=1600 | loss=-0.017
[BipedalWalker-v3] Ep 0032 | R_raw=-112.33 | len= 56 | loss=-0.045
[BipedalWalker-v3] Ep 0033 | R_raw=-111.71 | len= 48 | loss=0.025
[BipedalWalker-v3] Ep 0034 | R_raw= -62.78 | len=1600 | loss=-0.007
[BipedalWalker-v3] Ep 0035 | R_raw=-110.97 | len= 39 | loss=-0.095
[BipedalWalker-v3] Ep 0036 | R_raw=-112.77 | len= 47 | loss=-0.010
[BipedalWalker-v3] Ep 0037 | R_raw=-112.21 | len= 66 | loss=-0.044
[BipedalWalker-v3] Ep 0038 | R_raw=-111.34 | len= 69 | loss=-0.055
[BipedalWalker-v3] Ep 0039 | R_raw=-114.31 | len= 51 | loss=-0.010
[BipedalWalker-v3] Ep 0040 | R_raw= -51.61 | len=1600 | loss=0.004
[BipedalWalker-v3] Ep 0041 | R_raw= -45.88 | len=1600 | loss=-0.013
[BipedalWalker-v3] Ep 0042 | R_raw=-117.63 | len= 70 | loss=0.127
[BipedalWalker-v3] Ep 0043 | R_raw=-156.03 | len=1236 | loss=0.001
[BipedalWalker-v3] Ep 0044 | R_raw=-112.73 | len= 51 | loss=0.093
[BipedalWalker-v3] Ep 0045 | R_raw= -97.63 | len= 85 | loss=0.038
[BipedalWalker-v3] Ep 0046 | R_raw=-112.65 | len= 40 | loss=0.046
[BipedalWalker-v3] Ep 0047 | R_raw=-116.99 | len= 49 | loss=0.272
[BipedalWalker-v3] Ep 0048 | R_raw= -53.17 | len=1600 | loss=0.018
[BipedalWalker-v3] Ep 0049 | R_raw=-117.08 | len= 64 | loss=0.096
[BipedalWalker-v3] Ep 0050 | R_raw=-109.76 | len= 41 | loss=-0.078
[BipedalWalker-v3] Ep 0051 | R_raw=-156.78 | len=1298 | loss=-0.009
[BipedalWalker-v3] Ep 0052 | R_raw=-114.96 | len= 62 | loss=0.080
[BipedalWalker-v3] Ep 0053 | R_raw=-150.55 | len=986 | loss=0.001
[BipedalWalker-v3] Ep 0054 | R_raw=-115.21 | len= 66 | loss=-0.008
[BipedalWalker-v3] Ep 0055 | R_raw=-113.38 | len= 50 | loss=0.020
[BipedalWalker-v3] Ep 0056 | R_raw=-111.86 | len= 43 | loss=-0.055
[BipedalWalker-v3] Ep 0057 | R_raw=-115.44 | len= 67 | loss=0.006
[BipedalWalker-v3] Ep 0058 | R_raw=-114.65 | len= 42 | loss=0.014
[BipedalWalker-v3] Ep 0059 | R_raw=-111.66 | len= 39 | loss=-0.018
[BipedalWalker-v3] Ep 0060 | R_raw=-115.73 | len= 61 | loss=0.057
