PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum.py
[Pendulum] Ep 0001 | R_raw=-1615.43 | len=200 | loss=0.023
[Pendulum] Ep 0002 | R_raw=-1020.16 | len=200 | loss=-0.081
[Pendulum] Ep 0003 | R_raw=-906.06 | len=200 | loss=-0.054
[Pendulum] Ep 0004 | R_raw=-992.84 | len=200 | loss=-0.062
[Pendulum] Ep 0005 | R_raw=-935.10 | len=200 | loss=0.025
[Pendulum] Ep 0006 | R_raw=-1452.06 | len=200 | loss=-0.026
[Pendulum] Ep 0007 | R_raw=-1197.52 | len=200 | loss=-0.024
[Pendulum] Ep 0008 | R_raw=-1155.95 | len=200 | loss=-0.012
[Pendulum] Ep 0009 | R_raw=-1116.16 | len=200 | loss=0.050
[Pendulum] Ep 0010 | R_raw=-891.97 | len=200 | loss=0.029
[Pendulum] Ep 0011 | R_raw=-1533.48 | len=200 | loss=0.019
[Pendulum] Ep 0012 | R_raw=-1489.87 | len=200 | loss=0.028
[Pendulum] Ep 0013 | R_raw=-1708.54 | len=200 | loss=0.021
[Pendulum] Ep 0014 | R_raw=-957.02 | len=200 | loss=0.106
[Pendulum] Ep 0015 | R_raw=-1074.34 | len=200 | loss=0.092
[Pendulum] Ep 0016 | R_raw=-1489.33 | len=200 | loss=0.041
[Pendulum] Ep 0017 | R_raw=-921.69 | len=200 | loss=-0.028
[Pendulum] Ep 0018 | R_raw=-1054.18 | len=200 | loss=-0.127
[Pendulum] Ep 0019 | R_raw=-1508.84 | len=200 | loss=0.020
[Pendulum] Ep 0020 | R_raw=-1053.63 | len=200 | loss=0.002
[Pendulum] Ep 0021 | R_raw=-1428.36 | len=200 | loss=-0.069
[Pendulum] Ep 0022 | R_raw=-1268.85 | len=200 | loss=0.077
[Pendulum] Ep 0023 | R_raw=-1400.71 | len=200 | loss=-0.006
[Pendulum] Ep 0024 | R_raw=-998.77 | len=200 | loss=0.004
[Pendulum] Ep 0025 | R_raw=-849.62 | len=200 | loss=-0.009
[Pendulum] Ep 0026 | R_raw=-1546.55 | len=200 | loss=-0.044
[Pendulum] Ep 0027 | R_raw=-1180.34 | len=200 | loss=0.040
[Pendulum] Ep 0028 | R_raw=-1031.15 | len=200 | loss=-0.007
[Pendulum] Ep 0029 | R_raw=-1026.95 | len=200 | loss=-0.075
[Pendulum] Ep 0030 | R_raw=-1075.17 | len=200 | loss=-0.047
[Pendulum] Ep 0031 | R_raw=-1193.75 | len=200 | loss=0.002
[Pendulum] Ep 0032 | R_raw=-1381.87 | len=200 | loss=-0.110
[Pendulum] Ep 0033 | R_raw=-1257.27 | len=200 | loss=-0.086
[Pendulum] Ep 0034 | R_raw=-1068.84 | len=200 | loss=-0.085
[Pendulum] Ep 0035 | R_raw=-1149.11 | len=200 | loss=-0.006
[Pendulum] Ep 0036 | R_raw=-1104.43 | len=200 | loss=0.015
[Pendulum] Ep 0037 | R_raw=-1164.42 | len=200 | loss=0.103
[Pendulum] Ep 0038 | R_raw=-941.30 | len=200 | loss=-0.024
[Pendulum] Ep 0039 | R_raw=-1068.26 | len=200 | loss=0.031
[Pendulum] Ep 0040 | R_raw=-1181.40 | len=200 | loss=0.057
[Pendulum] Ep 0041 | R_raw=-1164.23 | len=200 | loss=0.013
[Pendulum] Ep 0042 | R_raw=-1259.69 | len=200 | loss=-0.087
[Pendulum] Ep 0043 | R_raw=-1039.20 | len=200 | loss=0.011
[Pendulum] Ep 0044 | R_raw=-1227.88 | len=200 | loss=-0.004
[Pendulum] Ep 0045 | R_raw=-1585.88 | len=200 | loss=0.017
[Pendulum] Ep 0046 | R_raw=-1056.99 | len=200 | loss=0.047
[Pendulum] Ep 0047 | R_raw=-1374.42 | len=200 | loss=0.043
[Pendulum] Ep 0048 | R_raw=-1029.46 | len=200 | loss=0.021
[Pendulum] Ep 0049 | R_raw=-1008.63 | len=200 | loss=-0.039
[Pendulum] Ep 0050 | R_raw=-1076.88 | len=200 | loss=-0.003
[Pendulum] Ep 0051 | R_raw=-1350.91 | len=200 | loss=-0.012
[Pendulum] Ep 0052 | R_raw=-1186.14 | len=200 | loss=0.018
[Pendulum] Ep 0053 | R_raw=-986.19 | len=200 | loss=-0.060
[Pendulum] Ep 0054 | R_raw=-1593.25 | len=200 | loss=-0.007
[Pendulum] Ep 0055 | R_raw=-1320.44 | len=200 | loss=0.072
[Pendulum] Ep 0056 | R_raw=-1560.19 | len=200 | loss=0.030
[Pendulum] Ep 0057 | R_raw=-1045.03 | len=200 | loss=0.001
[Pendulum] Ep 0058 | R_raw=-1201.10 | len=200 | loss=-0.013
[Pendulum] Ep 0059 | R_raw=-926.88 | len=200 | loss=-0.089
[Pendulum] Ep 0060 | R_raw=-1330.90 | len=200 | loss=-0.024
[Pendulum] Ep 0061 | R_raw=-1441.90 | len=200 | loss=-0.055
[Pendulum] Ep 0062 | R_raw=-1147.42 | len=200 | loss=-0.017
[Pendulum] Ep 0063 | R_raw=-982.61 | len=200 | loss=-0.045
[Pendulum] Ep 0064 | R_raw=-1468.31 | len=200 | loss=0.081
[Pendulum] Ep 0065 | R_raw=-996.03 | len=200 | loss=-0.030
[Pendulum] Ep 0066 | R_raw=-1181.88 | len=200 | loss=-0.055
[Pendulum] Ep 0067 | R_raw=-1016.37 | len=200 | loss=-0.034
[Pendulum] Ep 0068 | R_raw=-1212.70 | len=200 | loss=0.044
[Pendulum] Ep 0069 | R_raw=-1708.29 | len=200 | loss=0.033
[Pendulum] Ep 0070 | R_raw=-1387.36 | len=200 | loss=0.085
[Pendulum] Ep 0071 | R_raw=-1612.46 | len=200 | loss=-0.017
[Pendulum] Ep 0072 | R_raw=-903.77 | len=200 | loss=-0.014
[Pendulum] Ep 0073 | R_raw=-1174.73 | len=200 | loss=0.049
[Pendulum] Ep 0074 | R_raw=-1034.25 | len=200 | loss=0.031
[Pendulum] Ep 0075 | R_raw=-958.58 | len=200 | loss=0.035
[Pendulum] Ep 0076 | R_raw=-1278.72 | len=200 | loss=-0.031
[Pendulum] Ep 0077 | R_raw=-1461.91 | len=200 | loss=-0.090
[Pendulum] Ep 0078 | R_raw=-1659.29 | len=200 | loss=-0.072
[Pendulum] Ep 0079 | R_raw=-1617.44 | len=200 | loss=0.021
[Pendulum] Ep 0080 | R_raw=-1154.24 | len=200 | loss=-0.090
[Pendulum] Ep 0081 | R_raw=-1056.88 | len=200 | loss=-0.016
[Pendulum] Ep 0082 | R_raw=-1258.21 | len=200 | loss=0.049
[Pendulum] Ep 0083 | R_raw=-1167.60 | len=200 | loss=0.005
[Pendulum] Ep 0084 | R_raw=-982.76 | len=200 | loss=0.082
[Pendulum] Ep 0085 | R_raw=-1086.60 | len=200 | loss=0.031
[Pendulum] Ep 0086 | R_raw=-990.12 | len=200 | loss=0.043
[Pendulum] Ep 0087 | R_raw=-1176.80 | len=200 | loss=-0.074
[Pendulum] Ep 0088 | R_raw=-1055.77 | len=200 | loss=-0.000
[Pendulum] Ep 0089 | R_raw=-1037.92 | len=200 | loss=-0.092
[Pendulum] Ep 0090 | R_raw=-1776.41 | len=200 | loss=0.027
[Pendulum] Ep 0091 | R_raw=-1388.88 | len=200 | loss=0.022
[Pendulum] Ep 0092 | R_raw=-990.47 | len=200 | loss=0.094
[Pendulum] Ep 0093 | R_raw=-1178.22 | len=200 | loss=-0.092
[Pendulum] Ep 0094 | R_raw=-1181.32 | len=200 | loss=-0.015
[Pendulum] Ep 0095 | R_raw=-1193.58 | len=200 | loss=-0.043
[Pendulum] Ep 0096 | R_raw=-937.05 | len=200 | loss=-0.012
[Pendulum] Ep 0097 | R_raw=-983.88 | len=200 | loss=-0.070
[Pendulum] Ep 0098 | R_raw=-1492.56 | len=200 | loss=-0.066
[Pendulum] Ep 0099 | R_raw=-1031.39 | len=200 | loss=-0.044
[Pendulum] Ep 0100 | R_raw=-1096.83 | len=200 | loss=-0.010
[Pendulum] Ep 0101 | R_raw=-1018.07 | len=200 | loss=-0.065
[Pendulum] Ep 0102 | R_raw=-1120.30 | len=200 | loss=0.023
[Pendulum] Ep 0103 | R_raw=-1102.35 | len=200 | loss=-0.024
[Pendulum] Ep 0104 | R_raw=-1101.50 | len=200 | loss=-0.044
[Pendulum] Ep 0105 | R_raw=-1085.98 | len=200 | loss=-0.028
[Pendulum] Ep 0106 | R_raw=-1412.31 | len=200 | loss=0.023
[Pendulum] Ep 0107 | R_raw=-1583.69 | len=200 | loss=-0.001
[Pendulum] Ep 0108 | R_raw=-1762.68 | len=200 | loss=0.004
