PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_cartpole.py
Ep 0001 | R=  11 | len= 11 | loss=-0.030
Ep 0002 | R=  17 | len= 17 | loss=0.038
Ep 0003 | R=  26 | len= 26 | loss=0.050
Ep 0004 | R=  12 | len= 12 | loss=-0.123
Ep 0005 | R=  25 | len= 25 | loss=0.126
Ep 0006 | R=  16 | len= 16 | loss=0.077
Ep 0007 | R=  43 | len= 43 | loss=0.097
Ep 0008 | R=  33 | len= 33 | loss=0.077
Ep 0009 | R=  29 | len= 29 | loss=0.046
Ep 0010 | R=   9 | len=  9 | loss=-0.070
Ep 0011 | R=  13 | len= 13 | loss=-0.039
Ep 0012 | R=  22 | len= 22 | loss=0.041
Ep 0013 | R=  14 | len= 14 | loss=-0.072
Ep 0014 | R=  15 | len= 15 | loss=-0.009
Ep 0015 | R=  14 | len= 14 | loss=0.112
Ep 0016 | R=  15 | len= 15 | loss=0.011
Ep 0017 | R=  33 | len= 33 | loss=-0.011
Ep 0018 | R=  15 | len= 15 | loss=-0.012
Ep 0019 | R=  19 | len= 19 | loss=0.027
Ep 0020 | R=   9 | len=  9 | loss=-0.038
Ep 0021 | R=  12 | len= 12 | loss=-0.058
Ep 0022 | R=  24 | len= 24 | loss=-0.013
Ep 0023 | R=  20 | len= 20 | loss=-0.030
Ep 0024 | R=  16 | len= 16 | loss=-0.041
Ep 0025 | R=  10 | len= 10 | loss=-0.070
Ep 0026 | R=  22 | len= 22 | loss=0.012
Ep 0027 | R=  20 | len= 20 | loss=0.041
Ep 0028 | R=  21 | len= 21 | loss=0.044
Ep 0029 | R=  18 | len= 18 | loss=-0.030
Ep 0030 | R=  23 | len= 23 | loss=0.044
Ep 0031 | R=  53 | len= 53 | loss=0.022
Ep 0032 | R=  26 | len= 26 | loss=0.053
Ep 0033 | R=  14 | len= 14 | loss=-0.031
Ep 0034 | R=  12 | len= 12 | loss=-0.082
Ep 0035 | R=  16 | len= 16 | loss=-0.049
Ep 0036 | R=  46 | len= 46 | loss=0.019
Ep 0037 | R=  23 | len= 23 | loss=-0.013
Ep 0038 | R=  41 | len= 41 | loss=0.012
Ep 0039 | R=  32 | len= 32 | loss=0.007
Ep 0040 | R=  12 | len= 12 | loss=-0.070
Ep 0041 | R=  23 | len= 23 | loss=-0.027
Ep 0042 | R=  37 | len= 37 | loss=0.005
Ep 0043 | R=  36 | len= 36 | loss=0.005
Ep 0044 | R=  36 | len= 36 | loss=0.006
Ep 0045 | R=  20 | len= 20 | loss=-0.009
Ep 0046 | R=  34 | len= 34 | loss=-0.051
Ep 0047 | R=  41 | len= 41 | loss=0.000
Ep 0048 | R=  37 | len= 37 | loss=-0.002
Ep 0049 | R=  16 | len= 16 | loss=0.032
Ep 0050 | R=  34 | len= 34 | loss=-0.004
Ep 0051 | R=  27 | len= 27 | loss=-0.007
Ep 0052 | R=  21 | len= 21 | loss=-0.087
Ep 0053 | R=  47 | len= 47 | loss=0.008
Ep 0054 | R=  34 | len= 34 | loss=-0.056
Ep 0055 | R=  32 | len= 32 | loss=0.010
Ep 0056 | R=  57 | len= 57 | loss=-0.076
Ep 0057 | R=  63 | len= 63 | loss=-0.038
Ep 0058 | R=  39 | len= 39 | loss=-0.060
Ep 0059 | R=  56 | len= 56 | loss=-0.020
Ep 0060 | R=  77 | len= 77 | loss=-0.014
Ep 0061 | R=  31 | len= 31 | loss=-0.029
Ep 0062 | R=  27 | len= 27 | loss=-0.090
Ep 0063 | R=  39 | len= 39 | loss=-0.147
Ep 0064 | R=  59 | len= 59 | loss=-0.030
Ep 0065 | R=  32 | len= 32 | loss=0.006
Ep 0066 | R=  61 | len= 61 | loss=0.011
Ep 0067 | R=  40 | len= 40 | loss=-0.005
Ep 0068 | R= 117 | len=117 | loss=0.034
Ep 0069 | R=  64 | len= 64 | loss=-0.008
Ep 0070 | R=  73 | len= 73 | loss=-0.014
Ep 0071 | R=  77 | len= 77 | loss=-0.001
Ep 0072 | R=  55 | len= 55 | loss=-0.034
