PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0001 | R_raw=-1528.84 | len=200 | actor_loss=-0.035 | critic_loss=119622.555
[Pendulum-Min] Ep 0002 | R_raw=-950.20 | len=200 | actor_loss=0.072 | critic_loss=42081.609
[Pendulum-Min] Ep 0003 | R_raw=-874.08 | len=200 | actor_loss=-0.050 | critic_loss=36204.363
[Pendulum-Min] Ep 0004 | R_raw=-1230.46 | len=200 | actor_loss=-0.029 | critic_loss=67353.836
[Pendulum-Min] Ep 0005 | R_raw=-1269.31 | len=200 | actor_loss=0.005 | critic_loss=77382.906
[Pendulum-Min] Ep 0006 | R_raw=-1492.68 | len=200 | actor_loss=-0.011 | critic_loss=104368.781
[Pendulum-Min] Ep 0007 | R_raw=-1483.72 | len=200 | actor_loss=0.025 | critic_loss=104781.148
[Pendulum-Min] Ep 0008 | R_raw=-883.72 | len=200 | actor_loss=0.015 | critic_loss=36524.453
[Pendulum-Min] Ep 0009 | R_raw=-1424.72 | len=200 | actor_loss=-0.029 | critic_loss=98207.984
[Pendulum-Min] Ep 0010 | R_raw=-1180.88 | len=200 | actor_loss=-0.050 | critic_loss=66180.703
[Pendulum-Min] Ep 0011 | R_raw=-954.69 | len=200 | actor_loss=0.058 | critic_loss=50882.016
[Pendulum-Min] Ep 0012 | R_raw=-1325.39 | len=200 | actor_loss=-0.089 | critic_loss=84385.797
[Pendulum-Min] Ep 0013 | R_raw=-1377.62 | len=200 | actor_loss=0.023 | critic_loss=90164.516
[Pendulum-Min] Ep 0014 | R_raw=-1254.56 | len=200 | actor_loss=0.019 | critic_loss=74845.367
[Pendulum-Min] Ep 0015 | R_raw=-1246.16 | len=200 | actor_loss=-0.006 | critic_loss=76293.766
[Pendulum-Min] Ep 0016 | R_raw=-1367.85 | len=200 | actor_loss=0.020 | critic_loss=87399.758
[Pendulum-Min] Ep 0017 | R_raw=-872.69 | len=200 | actor_loss=-0.004 | critic_loss=34259.395
[Pendulum-Min] Ep 0018 | R_raw=-983.55 | len=200 | actor_loss=-0.048 | critic_loss=48638.250
[Pendulum-Min] Ep 0019 | R_raw=-1390.19 | len=200 | actor_loss=0.030 | critic_loss=93418.148
[Pendulum-Min] Ep 0020 | R_raw=-1609.28 | len=200 | actor_loss=-0.027 | critic_loss=121470.938
[Pendulum-Min] Ep 0021 | R_raw=-1484.99 | len=200 | actor_loss=0.059 | critic_loss=103862.164
[Pendulum-Min] Ep 0022 | R_raw=-1621.16 | len=200 | actor_loss=0.007 | critic_loss=122282.086
[Pendulum-Min] Ep 0023 | R_raw=-1068.17 | len=200 | actor_loss=0.019 | critic_loss=51984.324
[Pendulum-Min] Ep 0024 | R_raw=-1306.44 | len=200 | actor_loss=-0.005 | critic_loss=81567.312
[Pendulum-Min] Ep 0025 | R_raw=-1382.09 | len=200 | actor_loss=0.023 | critic_loss=92176.125
[Pendulum-Min] Ep 0026 | R_raw=-1073.92 | len=200 | actor_loss=-0.008 | critic_loss=58242.293
