PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_minimalist.py
--- Pre-populating replay buffer with 10000 random steps... ---
--- Warm-up complete. Starting training. ---
Episode 001: Score=10 | Top-15 Avg=10.00
Episode 002: Score=16 | Top-15 Avg=13.00
Episode 003: Score=9 | Top-15 Avg=11.67
Episode 004: Score=15 | Top-15 Avg=12.50
Episode 005: Score=9 | Top-15 Avg=11.80
Episode 006: Score=10 | Top-15 Avg=11.50
Episode 007: Score=9 | Top-15 Avg=11.14
Episode 008: Score=20 | Top-15 Avg=12.25
Episode 009: Score=19 | Top-15 Avg=13.00
Episode 010: Score=9 | Top-15 Avg=12.60
Episode 011: Score=10 | Top-15 Avg=12.36
Episode 012: Score=13 | Top-15 Avg=12.42
Episode 013: Score=8 | Top-15 Avg=12.08
Episode 014: Score=28 | Top-15 Avg=13.21
Episode 015: Score=41 | Top-15 Avg=15.07
Episode 016: Score=13 | Top-15 Avg=15.40
Episode 017: Score=12 | Top-15 Avg=15.60
Episode 018: Score=15 | Top-15 Avg=16.00
Episode 019: Score=12 | Top-15 Avg=16.20
Episode 020: Score=32 | Top-15 Avg=17.73
Episode 021: Score=10 | Top-15 Avg=17.73
Episode 022: Score=10 | Top-15 Avg=17.73
Episode 023: Score=9 | Top-15 Avg=17.73
Episode 024: Score=74 | Top-15 Avg=22.00
Episode 025: Score=44 | Top-15 Avg=24.27
Episode 026: Score=76 | Top-15 Avg=28.67
Episode 027: Score=103 | Top-15 Avg=34.73
Episode 028: Score=217 | Top-15 Avg=48.40
Episode 029: Score=115 | Top-15 Avg=55.20
Episode 030: Score=149 | Top-15 Avg=64.27
Episode 031: Score=239 | Top-15 Avg=79.20
Episode 032: Score=228 | Top-15 Avg=93.40
Episode 033: Score=266 | Top-15 Avg=110.07
Episode 034: Score=268 | Top-15 Avg=126.67
Episode 035: Score=130 | Top-15 Avg=134.00
Episode 036: Score=126 | Top-15 Avg=140.53
Episode 037: Score=188 | Top-15 Avg=150.93
Episode 038: Score=158 | Top-15 Avg=158.73
Episode 039: Score=245 | Top-15 Avg=172.13
Episode 040: Score=131 | Top-15 Avg=175.93
Episode 041: Score=187 | Top-15 Avg=183.33
Episode 042: Score=134 | Top-15 Avg=185.40
Episode 043: Score=123 | Top-15 Avg=185.93
Episode 044: Score=132 | Top-15 Avg=186.53
Episode 045: Score=176 | Top-15 Avg=189.87
Episode 046: Score=162 | Top-15 Avg=192.00
Episode 047: Score=152 | Top-15 Avg=193.40
Episode 048: Score=137 | Top-15 Avg=193.73
Episode 049: Score=190 | Top-15 Avg=197.47
Episode 050: Score=174 | Top-15 Avg=199.93
Episode 051: Score=171 | Top-15 Avg=201.40
Episode 052: Score=117 | Top-15 Avg=201.40
Episode 053: Score=150 | Top-15 Avg=201.40
Episode 054: Score=118 | Top-15 Avg=201.40
Episode 055: Score=154 | Top-15 Avg=201.53
Episode 056: Score=132 | Top-15 Avg=201.53
Episode 057: Score=111 | Top-15 Avg=201.53
Episode 058: Score=210 | Top-15 Avg=205.27
Episode 059: Score=214 | Top-15 Avg=209.00
Episode 060: Score=355 | Top-15 Avg=221.87
Episode 061: Score=223 | Top-15 Avg=225.33
Episode 062: Score=191 | Top-15 Avg=226.47
Episode 063: Score=167 | Top-15 Avg=226.47
Episode 064: Score=149 | Top-15 Avg=226.47
Episode 065: Score=128 | Top-15 Avg=226.47
Episode 066: Score=161 | Top-15 Avg=226.47
Episode 067: Score=200 | Top-15 Avg=228.07
Episode 068: Score=194 | Top-15 Avg=228.53
Episode 069: Score=141 | Top-15 Avg=228.53
Episode 070: Score=298 | Top-15 Avg=235.87
Episode 071: Score=177 | Top-15 Avg=235.87
Episode 072: Score=171 | Top-15 Avg=235.87
Episode 073: Score=208 | Top-15 Avg=237.07
Episode 074: Score=200 | Top-15 Avg=237.67
Episode 075: Score=175 | Top-15 Avg=237.67
Episode 076: Score=157 | Top-15 Avg=237.67
Episode 077: Score=125 | Top-15 Avg=237.67
Episode 078: Score=334 | Top-15 Avg=247.00
Episode 079: Score=125 | Top-15 Avg=247.00
Episode 080: Score=96 | Top-15 Avg=247.00
Episode 081: Score=72 | Top-15 Avg=247.00
Episode 082: Score=124 | Top-15 Avg=247.00
Episode 083: Score=131 | Top-15 Avg=247.00
Episode 084: Score=196 | Top-15 Avg=247.00
Episode 085: Score=164 | Top-15 Avg=247.00
Episode 086: Score=218 | Top-15 Avg=248.20
Episode 087: Score=317 | Top-15 Avg=256.00
Episode 088: Score=100 | Top-15 Avg=256.00
Episode 089: Score=191 | Top-15 Avg=256.00
