PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_feather.py
================================================================================
WENDIGO GEODESIC SAC: Multi-Objective + Reverse Pareto + Geodesic Navigation
================================================================================

Warming up replay buffer with 10000 random steps...
Warmup complete. Starting training.

Ep 001: Score= 46 | MeanDR=0.5978 | CohGain=  2.67 | Critical=30 | GeoMap=  39 | Explore=0.995 | Top15Avg=46.0 (best=46)
Ep 002: Score= 19 | MeanDR=0.4085 | CohGain=  1.24 | Critical=13 | GeoMap=  50 | Explore=0.990 | Top15Avg=32.5 (best=46)
Ep 003: Score= 11 | MeanDR=0.6001 | CohGain=  0.36 | Critical= 8 | GeoMap=  57 | Explore=0.985 | Top15Avg=25.3 (best=46)
Ep 004: Score=  9 | MeanDR=0.8366 | CohGain=  0.00 | Critical= 6 | GeoMap=  63 | Explore=0.980 | Top15Avg=21.2 (best=46)
Ep 005: Score=  9 | MeanDR=0.7899 | CohGain=  0.00 | Critical= 6 | GeoMap=  71 | Explore=0.975 | Top15Avg=18.8 (best=46)
Ep 006: Score= 32 | MeanDR=0.4943 | CohGain=  1.56 | Critical=24 | GeoMap=  96 | Explore=0.970 | Top15Avg=21.0 (best=46)
Ep 007: Score= 21 | MeanDR=0.3481 | CohGain=  1.34 | Critical=15 | GeoMap= 109 | Explore=0.966 | Top15Avg=21.0 (best=46)
Ep 008: Score= 41 | MeanDR=0.5147 | CohGain=  2.27 | Critical=22 | GeoMap= 131 | Explore=0.961 | Top15Avg=23.5 (best=46)
Ep 009: Score= 31 | MeanDR=0.6658 | CohGain=  1.18 | Critical=17 | GeoMap= 144 | Explore=0.956 | Top15Avg=24.3 (best=46)
Ep 010: Score=  9 | MeanDR=0.8059 | CohGain=  0.00 | Critical= 6 | GeoMap= 150 | Explore=0.951 | Top15Avg=22.8 (best=46)
Ep 011: Score=  9 | MeanDR=0.7747 | CohGain=  0.00 | Critical= 5 | GeoMap= 152 | Explore=0.946 | Top15Avg=21.5 (best=46)
Ep 012: Score=  9 | MeanDR=0.7092 | CohGain=  0.24 | Critical= 6 | GeoMap= 155 | Explore=0.942 | Top15Avg=20.5 (best=46)
Ep 013: Score= 14 | MeanDR=0.5339 | CohGain=  0.73 | Critical=10 | GeoMap= 162 | Explore=0.937 | Top15Avg=20.0 (best=46)
Ep 014: Score= 20 | MeanDR=0.4335 | CohGain=  1.13 | Critical=13 | GeoMap= 170 | Explore=0.932 | Top15Avg=20.0 (best=46)
Ep 015: Score=  9 | MeanDR=0.8013 | CohGain=  0.00 | Critical= 6 | GeoMap= 170 | Explore=0.928 | Top15Avg=19.3 (best=46)
Ep 016: Score= 10 | MeanDR=0.6383 | CohGain=  0.37 | Critical= 7 | GeoMap= 174 | Explore=0.923 | Top15Avg=19.3 (best=46)
Ep 017: Score= 19 | MeanDR=0.4273 | CohGain=  0.98 | Critical= 8 | GeoMap= 175 | Explore=0.918 | Top15Avg=20.0 (best=46)
Ep 018: Score= 19 | MeanDR=0.4373 | CohGain=  0.87 | Critical=10 | GeoMap= 181 | Explore=0.914 | Top15Avg=20.7 (best=46)
Ep 019: Score= 10 | MeanDR=0.7578 | CohGain=  0.10 | Critical= 6 | GeoMap= 184 | Explore=0.909 | Top15Avg=20.7 (best=46)
Ep 020: Score= 24 | MeanDR=0.5589 | CohGain=  1.26 | Critical=15 | GeoMap= 199 | Explore=0.905 | Top15Avg=21.7 (best=46)
Ep 021: Score= 32 | MeanDR=0.3983 | CohGain=  1.83 | Critical=16 | GeoMap= 207 | Explore=0.900 | Top15Avg=23.3 (best=46)
Ep 022: Score= 14 | MeanDR=0.5699 | CohGain=  0.41 | Critical= 7 | GeoMap= 208 | Explore=0.896 | Top15Avg=23.5 (best=46)
Ep 023: Score=  9 | MeanDR=0.6988 | CohGain=  0.24 | Critical= 6 | GeoMap= 209 | Explore=0.891 | Top15Avg=23.5 (best=46)
Ep 024: Score= 20 | MeanDR=0.4101 | CohGain=  1.27 | Critical=11 | GeoMap= 215 | Explore=0.887 | Top15Avg=24.2 (best=46)
Ep 025: Score= 11 | MeanDR=0.8049 | CohGain=  0.09 | Critical= 7 | GeoMap= 221 | Explore=0.882 | Top15Avg=24.2 (best=46)
Ep 026: Score= 13 | MeanDR=0.4969 | CohGain=  0.73 | Critical=10 | GeoMap= 228 | Explore=0.878 | Top15Avg=24.3 (best=46)
Ep 027: Score= 96 | MeanDR=0.2846 | CohGain=  4.81 | Critical=65 | GeoMap= 265 | Explore=0.873 | Top15Avg=29.9 (best=96)
Ep 028: Score=147 | MeanDR=0.1751 | CohGain=  9.10 | Critical=90 | GeoMap= 280 | Explore=0.869 | Top15Avg=38.7 (best=147)
Ep 029: Score= 79 | MeanDR=0.3253 | CohGain=  4.06 | Critical=52 | GeoMap= 309 | Explore=0.865 | Top15Avg=43.1 (best=147)
Ep 030: Score= 21 | MeanDR=0.3921 | CohGain=  1.26 | Critical=15 | GeoMap= 316 | Explore=0.860 | Top15Avg=43.2 (best=147)
Ep 031: Score=217 | MeanDR=0.4689 | CohGain= 11.99 | Critical=107 | GeoMap= 411 | Explore=0.856 | Top15Avg=56.4 (best=217)
Ep 032: Score=119 | MeanDR=0.5123 | CohGain=  6.47 | Critical=63 | GeoMap= 464 | Explore=0.852 | Top15Avg=63.1 (best=217)
Ep 033: Score=139 | MeanDR=0.3359 | CohGain=  6.72 | Critical=86 | GeoMap= 499 | Explore=0.848 | Top15Avg=71.0 (best=217)
Ep 034: Score=268 | MeanDR=0.5147 | CohGain= 14.75 | Critical=136 | GeoMap= 563 | Explore=0.843 | Top15Avg=87.5 (best=268)
Ep 035: Score=178 | MeanDR=0.6099 | CohGain=  6.98 | Critical=101 | GeoMap= 631 | Explore=0.839 | Top15Avg=98.0 (best=268)
Ep 036: Score=220 | MeanDR=0.4005 | CohGain=  9.73 | Critical=114 | GeoMap= 676 | Explore=0.835 | Top15Avg=111.3 (best=268)
Ep 037: Score=315 | MeanDR=0.3816 | CohGain= 14.85 | Critical=137 | GeoMap= 726 | Explore=0.831 | Top15Avg=130.7 (best=315)
Ep 038: Score=311 | MeanDR=0.3321 | CohGain= 14.33 | Critical=138 | GeoMap= 770 | Explore=0.827 | Top15Avg=149.3 (best=315)
Ep 039: Score=310 | MeanDR=0.3750 | CohGain= 14.00 | Critical=133 | GeoMap= 802 | Explore=0.822 | Top15Avg=167.9 (best=315)
Ep 040: Score=234 | MeanDR=0.2645 | CohGain= 12.99 | Critical=126 | GeoMap= 825 | Explore=0.818 | Top15Avg=181.3 (best=315)
Ep 041: Score=245 | MeanDR=0.3333 | CohGain=  9.69 | Critical=122 | GeoMap= 847 | Explore=0.814 | Top15Avg=194.9 (best=315)
Ep 042: Score=193 | MeanDR=0.4036 | CohGain=  7.73 | Critical=103 | GeoMap= 866 | Explore=0.810 | Top15Avg=204.7 (best=315)
Ep 043: Score=306 | MeanDR=0.2196 | CohGain= 16.52 | Critical=143 | GeoMap= 895 | Explore=0.806 | Top15Avg=219.9 (best=315)
Ep 044: Score=284 | MeanDR=0.2341 | CohGain= 15.36 | Critical=136 | GeoMap= 910 | Explore=0.802 | Top15Avg=232.4 (best=315)
Ep 045: Score=200 | MeanDR=0.3897 | CohGain=  6.77 | Critical=105 | GeoMap= 951 | Explore=0.798 | Top15Avg=237.8 (best=315)
Ep 046: Score=155 | MeanDR=0.3040 | CohGain=  5.47 | Critical=81 | GeoMap= 976 | Explore=0.794 | Top15Avg=238.9 (best=315)
Ep 047: Score=287 | MeanDR=0.3079 | CohGain= 11.48 | Critical=139 | GeoMap=1008 | Explore=0.790 | Top15Avg=248.2 (best=315)
Ep 048: Score=187 | MeanDR=0.2474 | CohGain=  7.97 | Critical=100 | GeoMap=1031 | Explore=0.786 | Top15Avg=250.3 (best=315)
Ep 049: Score=148 | MeanDR=0.2749 | CohGain=  4.91 | Critical=81 | GeoMap=1038 | Explore=0.782 | Top15Avg=250.3 (best=315)
Ep 050: Score=190 | MeanDR=0.2307 | CohGain=  8.87 | Critical=102 | GeoMap=1046 | Explore=0.778 | Top15Avg=251.1 (best=315)
Ep 051: Score=275 | MeanDR=0.4012 | CohGain= 12.90 | Critical=118 | GeoMap=1090 | Explore=0.774 | Top15Avg=257.0 (best=315)
Ep 052: Score=364 | MeanDR=0.3606 | CohGain= 19.77 | Critical=153 | GeoMap=1146 | Explore=0.771 | Top15Avg=268.6 (best=364)
Ep 053: Score=180 | MeanDR=0.2357 | CohGain=  8.18 | Critical=98 | GeoMap=1149 | Explore=0.767 | Top15Avg=268.6 (best=364)
Ep 054: Score=118 | MeanDR=0.3186 | CohGain=  3.81 | Critical=68 | GeoMap=1165 | Explore=0.763 | Top15Avg=268.6 (best=364)
