PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_fuzz.py
--- Pre-populating replay buffer with 10000 random steps... ---
--- Warm-up complete. Starting training. ---
Episode 001: Score=16 | Top-15 Avg=16.00
Episode 002: Score=9 | Top-15 Avg=12.50
Episode 003: Score=9 | Top-15 Avg=11.33
Episode 004: Score=17 | Top-15 Avg=12.75
Episode 005: Score=25 | Top-15 Avg=15.20
Episode 006: Score=10 | Top-15 Avg=14.33
Episode 007: Score=8 | Top-15 Avg=13.43
Episode 008: Score=8 | Top-15 Avg=12.75
Episode 009: Score=9 | Top-15 Avg=12.33
Episode 010: Score=18 | Top-15 Avg=12.90
Episode 011: Score=9 | Top-15 Avg=12.55
Episode 012: Score=9 | Top-15 Avg=12.25
Episode 013: Score=37 | Top-15 Avg=14.15
Episode 014: Score=30 | Top-15 Avg=15.29
Episode 015: Score=14 | Top-15 Avg=15.20
Episode 016: Score=8 | Top-15 Avg=15.20
Episode 017: Score=10 | Top-15 Avg=15.33
Episode 018: Score=29 | Top-15 Avg=16.73
Episode 019: Score=27 | Top-15 Avg=17.93
Episode 020: Score=9 | Top-15 Avg=17.93
Episode 021: Score=10 | Top-15 Avg=18.00
Episode 022: Score=44 | Top-15 Avg=20.33
Episode 023: Score=25 | Top-15 Avg=21.40
Episode 024: Score=38 | Top-15 Avg=23.33
Episode 025: Score=40 | Top-15 Avg=25.33
Episode 026: Score=115 | Top-15 Avg=32.33
Episode 027: Score=30 | Top-15 Avg=33.67
Episode 028: Score=89 | Top-15 Avg=38.67
Episode 029: Score=80 | Top-15 Avg=42.93
Episode 030: Score=123 | Top-15 Avg=50.00
Episode 031: Score=225 | Top-15 Avg=63.80
Episode 032: Score=205 | Top-15 Avg=75.80
Episode 033: Score=154 | Top-15 Avg=84.40
Episode 034: Score=209 | Top-15 Avg=96.53
Episode 035: Score=176 | Top-15 Avg=106.33
Episode 036: Score=144 | Top-15 Avg=113.93
Episode 037: Score=304 | Top-15 Avg=132.20
Episode 038: Score=184 | Top-15 Avg=142.00
Episode 039: Score=228 | Top-15 Avg=154.67
Episode 040: Score=196 | Top-15 Avg=165.07
Episode 041: Score=191 | Top-15 Avg=174.87
Episode 042: Score=206 | Top-15 Avg=183.27
Episode 043: Score=221 | Top-15 Avg=192.07
Episode 044: Score=161 | Top-15 Avg=195.13
Episode 045: Score=145 | Top-15 Avg=196.60
Episode 046: Score=166 | Top-15 Avg=198.07
Episode 047: Score=243 | Top-15 Avg=204.60
Episode 048: Score=176 | Top-15 Avg=206.07
Episode 049: Score=212 | Top-15 Avg=209.47
Episode 050: Score=181 | Top-15 Avg=210.47
Episode 051: Score=287 | Top-15 Avg=217.87
Episode 052: Score=178 | Top-15 Avg=218.00
Episode 053: Score=141 | Top-15 Avg=218.00
Episode 054: Score=180 | Top-15 Avg=218.13
Episode 055: Score=441 | Top-15 Avg=235.53
Episode 056: Score=181 | Top-15 Avg=235.53
Episode 057: Score=494 | Top-15 Avg=256.40
Episode 058: Score=260 | Top-15 Avg=261.47
Episode 059: Score=164 | Top-15 Avg=261.47
Episode 060: Score=211 | Top-15 Avg=262.80
Episode 061: Score=173 | Top-15 Avg=262.80
Episode 062: Score=157 | Top-15 Avg=262.80
Episode 063: Score=230 | Top-15 Avg=265.07
Episode 064: Score=194 | Top-15 Avg=265.07
Episode 065: Score=180 | Top-15 Avg=265.07
Episode 066: Score=203 | Top-15 Avg=265.07
Episode 067: Score=101 | Top-15 Avg=265.07
Episode 068: Score=238 | Top-15 Avg=267.27
Episode 069: Score=166 | Top-15 Avg=267.27
Episode 070: Score=162 | Top-15 Avg=267.27
Episode 071: Score=181 | Top-15 Avg=267.27
Episode 072: Score=115 | Top-15 Avg=267.27
Episode 073: Score=168 | Top-15 Avg=267.27
Episode 074: Score=166 | Top-15 Avg=267.27
Episode 075: Score=139 | Top-15 Avg=267.27
Episode 076: Score=146 | Top-15 Avg=267.27
Episode 077: Score=189 | Top-15 Avg=267.27
Episode 078: Score=138 | Top-15 Avg=267.27
Episode 079: Score=190 | Top-15 Avg=267.27
Episode 080: Score=182 | Top-15 Avg=267.27
Episode 081: Score=236 | Top-15 Avg=269.27
Episode 082: Score=189 | Top-15 Avg=269.27
Episode 083: Score=194 | Top-15 Avg=269.27
Episode 084: Score=182 | Top-15 Avg=269.27
Episode 085: Score=199 | Top-15 Avg=269.27
Episode 086: Score=354 | Top-15 Avg=278.93
Episode 087: Score=204 | Top-15 Avg=278.93
Episode 088: Score=474 | Top-15 Avg=296.47
Episode 089: Score=293 | Top-15 Avg=301.87
Episode 090: Score=201 | Top-15 Avg=301.87
Episode 091: Score=73 | Top-15 Avg=301.87
Episode 092: Score=93 | Top-15 Avg=301.87
Episode 093: Score=175 | Top-15 Avg=301.87
Episode 094: Score=92 | Top-15 Avg=301.87
Episode 095: Score=203 | Top-15 Avg=301.87
Episode 096: Score=261 | Top-15 Avg=304.53
Episode 097: Score=121 | Top-15 Avg=304.53
Episode 098: Score=103 | Top-15 Avg=304.53
Episode 099: Score=95 | Top-15 Avg=304.53
Episode 100: Score=204 | Top-15 Avg=304.53
Episode 101: Score=118 | Top-15 Avg=304.53
Episode 102: Score=151 | Top-15 Avg=304.53
Episode 103: Score=272 | Top-15 Avg=307.67
Episode 104: Score=174 | Top-15 Avg=307.67
Episode 105: Score=90 | Top-15 Avg=307.67
Episode 106: Score=98 | Top-15 Avg=307.67
Episode 107: Score=253 | Top-15 Avg=309.33
Episode 108: Score=96 | Top-15 Avg=309.33
Episode 109: Score=95 | Top-15 Avg=309.33
Episode 110: Score=74 | Top-15 Avg=309.33
Episode 111: Score=93 | Top-15 Avg=309.33
