PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_minimalist.py
--- Pre-populating replay buffer with 10000 random steps... ---
--- Warm-up complete. Starting training. ---
Episode 001: Score=9 | Top-15 Avg=9.00
Episode 002: Score=10 | Top-15 Avg=9.50
Episode 003: Score=10 | Top-15 Avg=9.67
Episode 004: Score=20 | Top-15 Avg=12.25
Episode 005: Score=9 | Top-15 Avg=11.60
Episode 006: Score=10 | Top-15 Avg=11.33
Episode 007: Score=16 | Top-15 Avg=12.00
Episode 008: Score=9 | Top-15 Avg=11.62
Episode 009: Score=8 | Top-15 Avg=11.22
Episode 010: Score=10 | Top-15 Avg=11.10
Episode 011: Score=9 | Top-15 Avg=10.91
Episode 012: Score=10 | Top-15 Avg=10.83
Episode 013: Score=9 | Top-15 Avg=10.69
Episode 014: Score=10 | Top-15 Avg=10.64
Episode 015: Score=9 | Top-15 Avg=10.53
Episode 016: Score=8 | Top-15 Avg=10.53
Episode 017: Score=10 | Top-15 Avg=10.67
Episode 018: Score=10 | Top-15 Avg=10.73
Episode 019: Score=9 | Top-15 Avg=10.73
Episode 020: Score=12 | Top-15 Avg=10.93
Episode 021: Score=40 | Top-15 Avg=13.00
Episode 022: Score=10 | Top-15 Avg=13.07
Episode 023: Score=11 | Top-15 Avg=13.20
Episode 024: Score=27 | Top-15 Avg=14.40
Episode 025: Score=11 | Top-15 Avg=14.47
Episode 026: Score=9 | Top-15 Avg=14.47
Episode 027: Score=10 | Top-15 Avg=14.47
Episode 028: Score=45 | Top-15 Avg=16.80
Episode 029: Score=90 | Top-15 Avg=22.13
Episode 030: Score=58 | Top-15 Avg=25.33
Episode 031: Score=10 | Top-15 Avg=25.33
Episode 032: Score=30 | Top-15 Avg=26.67
Episode 033: Score=137 | Top-15 Avg=35.13
Episode 034: Score=123 | Top-15 Avg=42.67
Episode 035: Score=136 | Top-15 Avg=51.07
Episode 036: Score=110 | Top-15 Avg=57.73
Episode 037: Score=375 | Top-15 Avg=82.00
Episode 038: Score=336 | Top-15 Avg=103.67
Episode 039: Score=371 | Top-15 Avg=127.60
Episode 040: Score=181 | Top-15 Avg=138.60
Episode 041: Score=238 | Top-15 Avg=153.13
Episode 042: Score=222 | Top-15 Avg=166.13
Episode 043: Score=218 | Top-15 Avg=178.67
Episode 044: Score=109 | Top-15 Avg=183.27
Episode 045: Score=259 | Top-15 Avg=197.53
Episode 046: Score=278 | Top-15 Avg=212.20
Episode 047: Score=184 | Top-15 Avg=218.47
Episode 048: Score=202 | Top-15 Avg=224.67
Episode 049: Score=170 | Top-15 Avg=228.67
Episode 050: Score=126 | Top-15 Avg=228.87
Episode 051: Score=345 | Top-15 Avg=243.47
Episode 052: Score=223 | Top-15 Avg=249.27
Episode 053: Score=139 | Top-15 Avg=249.40
Episode 054: Score=251 | Top-15 Avg=256.87
Episode 055: Score=148 | Top-15 Avg=256.87
Episode 056: Score=315 | Top-15 Avg=266.53
Episode 057: Score=238 | Top-15 Avg=270.33
Episode 058: Score=168 | Top-15 Avg=270.33
Episode 059: Score=328 | Top-15 Avg=279.93
Episode 060: Score=261 | Top-15 Avg=283.87
Episode 061: Score=161 | Top-15 Avg=283.87
Episode 062: Score=280 | Top-15 Avg=288.00
Episode 063: Score=136 | Top-15 Avg=288.00
Episode 064: Score=164 | Top-15 Avg=288.00
Episode 065: Score=281 | Top-15 Avg=291.93
Episode 066: Score=376 | Top-15 Avg=302.13
Episode 067: Score=238 | Top-15 Avg=302.13
Episode 068: Score=176 | Top-15 Avg=302.13
Episode 069: Score=180 | Top-15 Avg=302.13
Episode 070: Score=212 | Top-15 Avg=302.13
Episode 071: Score=189 | Top-15 Avg=302.13
Episode 072: Score=377 | Top-15 Avg=311.40
Episode 073: Score=188 | Top-15 Avg=311.40
Episode 074: Score=122 | Top-15 Avg=311.40
Episode 075: Score=197 | Top-15 Avg=311.40
Episode 076: Score=351 | Top-15 Avg=318.93
Episode 077: Score=153 | Top-15 Avg=318.93
Episode 078: Score=230 | Top-15 Avg=318.93
Episode 079: Score=142 | Top-15 Avg=318.93
