file,category,velcridance_score,radiance_score,text_length
project_gutenberg_ebook_of_The_Meditations_of_the_Emperor_Marcus_Aurelius_Antonius.txt,radiant,1.657225975009112e-06,1.1152267624287831e-06,246673
The Project Gutenberg eBook of Mutual Aid A Factor of Evolution.txt,radiant,1.6597236367487152e-06,1.1276140825787614e-06,582520
"The Project Gutenberg eBook of The Bible, King James version, Book 42_ Luke, by Anonymous.html",radiant,1.6242292201696261e-06,1.005418033290325e-06,167413
"The Project Gutenberg eBook of The Conquest of Bread, by Peter Kropotkin.html",radiant,1.3495769434257053e-06,8.316988555697397e-07,431183
Walden _ Project Gutenberg.html,radiant,1.1260412918546415e-06,7.413687621327037e-07,633666
"Laws, by Plato.html",velcrid,1.6351467712639939e-06,9.937769835215355e-07,1450057
Leviathan _ Project Gutenberg.html,velcrid,1.4322157517200503e-06,8.439607703767557e-07,1357192
The Project Gutenberg eBook of The Art of War.txt,velcrid,8.551076894037755e-07,6.611546862386519e-07,317991
"The Project Gutenberg eBook of The Prince, by Nicolo Machiavelli.html",velcrid,1.3164456333925073e-06,8.450919584952899e-07,282832
THE_CODE_OF_Hammurabi.txt,velcrid,1.7752425276285513e-06,1.2610616788843784e-06,62893
